Sa 9 Nov , Wolverhampton , 2 - 0 , Southampton
Sa 9 Nov , Brighton , 2 - 1 , Manchester City
Sa 9 Nov , Liverpool , 2 - 0 , Aston Villa
Su 10 Nov , Manchester Utd , 3 - 0 , Leicester City
Su 10 Nov , Nottm Forest , 1 - 3 , Newcastle Utd
Su 10 Nov , Tottenham , 1 - 2 , Ipswich Town
Su 10 Nov , Chelsea , 1 - 1 , Arsenal
Sa 23 Nov , Leicester City , 1 - 2 , Chelsea
Sa 23 Nov , Arsenal , 3 - 0 , Nottm Forest
Sa 23 Nov , Aston Villa , 2 - 2 , Crystal Palace
Sa 23 Nov , Bournemouth , 1 - 2 , Brighton
Sa 23 Nov , Everton , 0 - 0 , Brentford
Sa 23 Nov , Fulham , 1 - 4 , Wolverhampton
Sa 23 Nov , Manchester City , 0 - 4 , Tottenham
Su 24 Nov , Southampton , 2 - 3 , Liverpool
Su 24 Nov , Ipswich Town , 1 - 1 , Manchester Utd
Mo 25 Nov , Newcastle Utd , 0 - 2 , West Ham Utd
Fr 29 Nov , Brighton , 1 - 1 , Southampton
Sa 30 Nov , Brentford , 4 - 1 , Leicester City
Sa 30 Nov , Crystal Palace , 1 - 1 , Newcastle Utd
Sa 30 Nov , Nottm Forest , 1 - 0 , Ipswich Town
Sa 30 Nov , Wolverhampton , 2 - 4 , Bournemouth
Sa 30 Nov , West Ham Utd , 2 - 5 , Arsenal
Su 1 Dec , Chelsea , 3 - 0 , Aston Villa
Su 1 Dec , Manchester Utd , 4 - 0 , Everton
Su 1 Dec , Tottenham , 1 - 1 , Fulham
Su 1 Dec , Liverpool , 2 - 0 , Manchester City
Tu 3 Dec , Ipswich Town , 0 - 1 , Crystal Palace
Tu 3 Dec , Leicester City , 3 - 1 , West Ham Utd
We 4 Dec , Everton , 4 - 0 , Wolverhampton
We 4 Dec , Manchester City , 3 - 0 , Nottm Forest
We 4 Dec , Newcastle Utd , 3 - 3 , Liverpool
We 4 Dec , Southampton , 1 - 5 , Chelsea
We 4 Dec , Arsenal , 2 - 0 , Manchester Utd
We 4 Dec , Aston Villa , 3 - 1 , Brentford
Th 5 Dec , Fulham , 3 - 1 , Brighton
Th 5 Dec , Bournemouth , 1 - 0 , Tottenham
Sa 7 Dec , Aston Villa , 1 - 0 , Southampton
Sa 7 Dec , Brentford , 4 - 2 , Newcastle Utd
Sa 7 Dec , Crystal Palace , 2 - 2 , Manchester City
Sa 7 Dec , Manchester Utd , 2 - 3 , Nottm Forest
Su 8 Dec , Fulham , 1 - 1 , Arsenal
Su 8 Dec , Ipswich Town , 1 - 2 , Bournemouth
Su 8 Dec , Leicester City , 2 - 2 , Brighton
Su 8 Dec , Tottenham , 3 - 4 , Chelsea
Mo 9 Dec , West Ham Utd , 2 - 1 , Wolverhampton
Sa 14 Dec , Arsenal , 0 - 0 , Everton
Sa 14 Dec , Liverpool , 2 - 2 , Fulham
Sa 14 Dec , Newcastle Utd , 4 - 0 , Leicester City
Sa 14 Dec , Wolverhampton , 1 - 2 , Ipswich Town
Sa 14 Dec , Nottm Forest , 2 - 1 , Aston Villa
Su 15 Dec , Brighton , 1 - 3 , Crystal Palace
Su 15 Dec , Manchester City , 1 - 2 , Manchester Utd
Su 15 Dec , Chelsea , 2 - 1 , Brentford
Su 15 Dec , Southampton , 0 - 5 , Tottenham
Mo 16 Dec , Bournemouth , 1 - 1 , West Ham Utd
Sa 21 Dec , Aston Villa , 2 - 1 , Manchester City
Sa 21 Dec , Brentford , 0 - 2 , Nottm Forest
Sa 21 Dec , Ipswich Town , 0 - 4 , Newcastle Utd
Sa 21 Dec , West Ham Utd , 1 - 1 , Brighton
Sa 21 Dec , Crystal Palace , 1 - 5 , Arsenal
Su 22 Dec , Everton , 0 - 0 , Chelsea
Su 22 Dec , Fulham , 0 - 0 , Southampton
Su 22 Dec , Leicester City , 0 - 3 , Wolverhampton
Su 22 Dec , Manchester Utd , 0 - 3 , Bournemouth
Su 22 Dec , Tottenham , 3 - 6 , Liverpool
Th 26 Dec , Manchester City , 1 - 1 , Everton
Th 26 Dec , Bournemouth , 0 - 0 , Crystal Palace
Th 26 Dec , Chelsea , 1 - 2 , Fulham
Th 26 Dec , Newcastle Utd , 3 - 0 , Aston Villa
Th 26 Dec , Nottm Forest , 1 - 0 , Tottenham
Th 26 Dec , Southampton , 0 - 1 , West Ham Utd
Th 26 Dec , Wolverhampton , 2 - 0 , Manchester Utd
Th 26 Dec , Liverpool , 3 - 1 , Leicester City
Fr 27 Dec , Brighton , 0 - 0 , Brentford
Fr 27 Dec , Arsenal , 1 - 0 , Ipswich Town
Su 29 Dec , Leicester City , 0 - 2 , Manchester City
Su 29 Dec , Crystal Palace , 2 - 1 , Southampton
Su 29 Dec , Everton , 0 - 2 , Nottm Forest
Su 29 Dec , Fulham , 2 - 2 , Bournemouth
Su 29 Dec , Tottenham , 2 - 2 , Wolverhampton
Su 29 Dec , West Ham Utd , 0 - 5 , Liverpool
Mo 30 Dec , Aston Villa , 2 - 2 , Brighton
Mo 30 Dec , Ipswich Town , 2 - 0 , Chelsea
Mo 30 Dec , Manchester Utd , 0 - 2 , Newcastle Utd
We 1 Jan , Brentford , 1 - 3 , Arsenal
Sa 4 Jan , Tottenham , 1 - 2 , Newcastle Utd
Sa 4 Jan , Aston Villa , 2 - 1 , Leicester City
Sa 4 Jan , Bournemouth , 1 - 0 , Everton
Sa 4 Jan , Crystal Palace , 1 - 1 , Chelsea
Sa 4 Jan , Manchester City , 4 - 1 , West Ham Utd
Sa 4 Jan , Southampton , 0 - 5 , Brentford
Sa 4 Jan , Brighton , 1 - 1 , Arsenal
Su 5 Jan , Fulham , 2 - 2 , Ipswich Town
Su 5 Jan , Liverpool , 2 - 2 , Manchester Utd
Mo 6 Jan , Wolverhampton , 0 - 3 , Nottm Forest
Tu 14 Jan , Brentford , 2 - 2 , Manchester City
Tu 14 Jan , Chelsea , 2 - 2 , Bournemouth
Tu 14 Jan , West Ham Utd , 3 - 2 , Fulham
Tu 14 Jan , Nottm Forest , 1 - 1 , Liverpool
We 15 Jan , Everton , 0 - 1 , Aston Villa
We 15 Jan , Leicester City , 0 - 2 , Crystal Palace
We 15 Jan , Newcastle Utd , 3 - 0 , Wolverhampton
We 15 Jan , Arsenal , 2 - 1 , Tottenham
Th 16 Jan , Ipswich Town , 0 - 2 , Brighton
Th 16 Jan , Manchester Utd , 3 - 1 , Southampton
Sa 18 Jan , Newcastle Utd , 1 - 4 , Bournemouth
Sa 18 Jan , Brentford , 0 - 2 , Liverpool
Sa 18 Jan , Leicester City , 0 - 2 , Fulham
Sa 18 Jan , West Ham Utd , 0 - 2 , Crystal Palace
Sa 18 Jan , Arsenal , 2 - 2 , Aston Villa
Su 19 Jan , Everton , 3 - 2 , Tottenham
Su 19 Jan , Manchester Utd , 1 - 3 , Brighton
Su 19 Jan , Nottm Forest , 3 - 2 , Southampton
Su 19 Jan , Ipswich Town , 0 - 6 , Manchester City
Mo 20 Jan , Chelsea , 3 - 1 , Wolverhampton
Sa 25 Jan , Bournemouth , 5 - 0 , Nottm Forest
Sa 25 Jan , Brighton , 0 - 1 , Everton
Sa 25 Jan , Liverpool , 4 - 1 , Ipswich Town
Sa 25 Jan , Southampton , 1 - 3 , Newcastle Utd
Sa 25 Jan , Wolverhampton , 0 - 1 , Arsenal
Sa 25 Jan , Manchester City , 3 - 1 , Chelsea
Su 26 Jan , Crystal Palace , 1 - 2 , Brentford
Su 26 Jan , Tottenham , 1 - 2 , Leicester City
Su 26 Jan , Aston Villa , 1 - 1 , West Ham Utd
Su 26 Jan , Fulham , 0 - 1 , Manchester Utd
Sa 1 Feb , Nottm Forest , 7 - 0 , Brighton
Sa 1 Feb , Bournemouth , 0 - 2 , Liverpool
