 
Sa 8 Jul 05:25am , IA Akranes x Njardvík , Average: 3.7 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 40.0% , Away Under 2.5 goals: 60.0% , 1. Deild , Iceland  / Over 1.5 Goals
Sa 8 Jul , Retro x Bahia de Feira , Average: 1.4 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 0.0% , Home Under 2.5 goals: 60.0% , Away Under 2.5 goals: 100.0% , Brasileirao Serie D , Brazil 
Sa 8 Jul , CRAC x XV Piracicaba , Average: 3.4 , Home Over 1.5 goals: 80.0% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 40.0% , Away Under 2.5 goals: 40.0% , Brasileirao Serie D , Brazil 
Sa 8 Jul , Maringa x Cascavel , Average: 1.4 , Home Over 1.5 goals: 20.0% , Away Over 1.5 goals: 60.0% , Home Under 2.5 goals: 100.0% , Away Under 2.5 goals: 80.0% , Brasileirao Serie D , Brazil 


Su 9 Jul , Odd x Bodo / Glimt , Average: 2.19 , Home Over 1.5 goals: 40.0% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 100.0% , Away Under 2.5 goals: 33.33% , Eliteserien , Norway 
Su 9 Jul , Sandefjord x Stabaek , Average: 3.6 , Home Over 1.5 goals: 75.0% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 25.0% , Away Under 2.5 goals: 0.0% , Eliteserien , Norway 
Su 9 Jul , Stromsgodset x Sarpsborg 08 , Average: 1.89 , Home Over 1.5 goals: 40.0% , Away Over 1.5 goals: 83.33% , Home Under 2.5 goals: 80.0% , Away Under 2.5 goals: 50.0% , Eliteserien , Norway 
Su 9 Jul , Molde x Brann , Average: 3.33 , Home Over 1.5 goals: 83.33% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 33.33% , Away Under 2.5 goals: 33.33% , Eliteserien , Norway 
Su 9 Jul , Asane x Skeid , Average: 3.46 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 71.43% , Home Under 2.5 goals: 16.67% , Away Under 2.5 goals: 28.57% , Obos Ligaen , Norway 
Su 9 Jul , Ekenas IF x JaPS , Average: 2.58 , Home Over 1.5 goals: 83.33% , Away Over 1.5 goals: 83.33% , Home Under 2.5 goals: 16.67% , Away Under 2.5 goals: 33.33% , Ykkonen , Finland 
Su 9 Jul , KaPa x Jaro , Average: 2.75 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 66.67% , Home Under 2.5 goals: 50.0% , Away Under 2.5 goals: 66.67% , Ykkonen , Finland 
Su 9 Jul , Palmeiras x Flamengo , Average: 3.58 , Home Over 1.5 goals: 83.33% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 33.33% , Away Under 2.5 goals: 0.0% , Brasileirao Serie A , Brazil 
Su 9 Jul , Santos x Goias , Average: 2.14 , Home Over 1.5 goals: 71.43% , Away Over 1.5 goals: 71.43% , Home Under 2.5 goals: 57.14% , Away Under 2.5 goals: 85.71% , Brasileirao Serie A , Brazil 
Su 9 Jul , Fluminense x Internacional , Average: 2.31 , Home Over 1.5 goals: 100.0% , Away Over 1.5 goals: 85.71% , Home Under 2.5 goals: 66.67% , Away Under 2.5 goals: 71.43% , Brasileirao Serie A , Brazil 
Su 9 Jul , Fortaleza x Athletico PR , Average: 2.42 , Home Over 1.5 goals: 66.67% , Away Over 1.5 goals: 100.0% , Home Under 2.5 goals: 66.67% , Away Under 2.5 goals: 50.0% , Brasileirao Serie A , Brazil 
Su 9 Jul , Pouso Alegre x Floresta , Average: 1.9 , Home Over 1.5 goals: 60.0% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 100.0% , Away Under 2.5 goals: 60.0% , Brasileirao Serie C , Brazil 
Su 9 Jul , Aparecidense x EC Sao Jose , Average: 2.33 , Home Over 1.5 goals: 83.33% , Away Over 1.5 goals: 66.67% , Home Under 2.5 goals: 50.0% , Away Under 2.5 goals: 66.67% , Brasileirao Serie C , Brazil 
Su 9 Jul , Figueirense x CSA , Average: 1.98 , Home Over 1.5 goals: 83.33% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 50.0% , Away Under 2.5 goals: 100.0% , Brasileirao Serie C , Brazil 


Mo 10 Jul , Confianca x Volta Redonda , Average: 2.9 , Home Over 1.5 goals: 80.0% , Away Over 1.5 goals: 80.0% , Home Under 2.5 goals: 40.0% , Away Under 2.5 goals: 40.0% , Brasileirao Serie C , Brazil 
Mo 10 Jul , Helsingborg x Ostersunds , Average: 1.67 , Home Over 1.5 goals: 33.33% , Away Over 1.5 goals: 50.0% , Home Under 2.5 goals: 66.67% , Away Under 2.5 goals: 66.67% , Superettan , Sweden 
Mo 10 Jul , Trelleborg x Utsikten , Average: 2.5 , Home Over 1.5 goals: 50.0% , Away Over 1.5 goals: 66.67% , Home Under 2.5 goals: 66.67% , Away Under 2.5 goals: 66.67% , Superettan , Sweden 

Tu 11 Jul , Jeju Utd x Gwangju , Average: 2.67 , Home Over 1.5 goals: 88.89% , Away Over 1.5 goals: 88.89% , Home Under 2.5 goals: 44.44% , Away Under 2.5 goals: 66.67% , K-League-1 , South Korea 
 
