Fri 10 Oct , Almere City , 2 - 2 , Roda JC
Sat 11 Oct , FC Emmen , 6 - 0 , FC Den Bosch
Sat 11 Oct , Cambuur , 2 - 0 , Vitesse Arnhem
Fri 17 Oct , RKC Waalwijk , 2 - 3 , FC Eindhoven
Fri 17 Oct , ADO Den Haag , 3 - 0 , De Graafschap
Fri 17 Oct , Almere City , 1 - 1 , Willem II
Fri 17 Oct , FC Eindhoven , 0 - 4 , FC Dordrecht
Fri 17 Oct , Helmond Sport , 4 - 2 , Cambuur
Fri 17 Oct , Jong Ajax , 2 - 2 , Vitesse Arnhem
Fri 17 Oct , Jong Utrecht , 3 - 1 , Jong AZ
Fri 17 Oct , Roda JC , 6 - 0 , Jong PSV
Fri 17 Oct , VVV , 4 - 0 , MVV Maastricht
Sat 18 Oct , De Graafschap , 1 - 1 , FC Den Bosch
Mon 20 Oct , FC Dordrecht , 1 - 2 , FC Emmen
Mon 20 Oct , Jong AZ , 4 - 0 , TOP Oss
Mon 20 Oct , Jong PSV , 0 - 3 , RKC Waalwijk
Mon 20 Oct , Roda JC , 2 - 0 , Willem II
Tue 21 Oct , FC Den Bosch , 1 - 0 , ADO Den Haag
Tue 21 Oct , MVV Maastricht , 3 - 2 , Almere City
Tue 21 Oct , TOP Oss , 1 - 1 , Helmond Sport
Tue 21 Oct , VVV , 0 - 1 , Vitesse Arnhem
Fri 24 Oct , Almere City , 1 - 3 , Jong Ajax
Fri 24 Oct , De Graafschap , 3 - 2 , Jong Utrecht
Fri 24 Oct , FC Eindhoven , 0 - 1 , Jong AZ
Fri 24 Oct , Helmond Sport , 1 - 2 , Jong PSV
Fri 24 Oct , Jong Ajax , 0 - 1 , VVV
Fri 24 Oct , Jong Utrecht , 0 - 0 , FC Dordrecht
Fri 24 Oct , RKC Waalwijk , 4 - 2 , FC Emmen
Fri 24 Oct , Vitesse Arnhem , 2 - 2 , TOP Oss
Sat 25 Oct , ADO Den Haag , 2 - 1 , Cambuur
Sun 26 Oct , Willem II , 2 - 2 , Roda JC
Fri 31 Oct , FC Den Bosch , 1 - 2 , FC Den Bosch
Fri 31 Oct , TOP Oss , 0 - 3 , MVV Maastricht
Fri 31 Oct , VVV , 1 - 2 , De Graafschap
Sat 1 Nov , Roda JC , 1 - 1 , Helmond Sport
Sat 1 Nov , Cambuur , 4 - 1 , Vitesse Arnhem
