Sun 11 May , Changchun Yatai , 0 - 1 , Henan SL
Sun 11 May , Tianjin T. , 0 - 1 , Yunnan Yukun
Sun 11 May , Wuhan Three T. , 2 - 2 , Dalian Yingbo
Fri 16 May , Zhejiang , 2 - 2 , Henan SL
Fri 16 May , Yunnan Yukun , 2 - 0 , Meizhou Hakka
Sat 17 May , Dalian Yingbo , 0 - 3 , S. Shenhua
Sat 17 May , Changchun Yatai , 1 - 2 , Tianjin T.
Sat 17 May , Chengdu , 1 - 1 , Qingdao West C.
Sat 17 May , Qingdao Hainiu , 1 - 1 , Beijing Guoan
Sat 17 May , Shanghai Port , 1 - 1 , Shandong T.
Fri 13 Jun , Dalian Yingbo , 1 - 0 , Meizhou Hakka
Fri 13 Jun , Wuhan Three T. , 2 - 0 , Qingdao Hainiu
Sat 14 Jun , Zhejiang , 2 - 2 , Shanghai Port
Sat 14 Jun , Beijing Guoan , 2 - 1 , Changchun Yatai
Sat 14 Jun , Qingdao West C. , 0 - 0 , Yunnan Yukun
Sat 14 Jun , Henan SL , 3 - 2 , Chengdu
Sat 14 Jun , Shenzhen P. C. , 3 - 1 , S. Shenhua
Sat 14 Jun , Tianjin T. , 1 - 0 , Shandong T.
Tue 17 Jun , Beijing Guoan , 1 - 0 , Qingdao West C.
Wed 18 Jun , Henan SL , 1 - 3 , Shanghai Port
Wed 18 Jun , Shenzhen P. C. , 1 - 2 , Wuhan Three T.
Wed 25 Jun , Qingdao Hainiu , 0 - 3 , Zhejiang
Wed 25 Jun , S. Shenhua , 3 - 0 , Tianjin T.
Wed 25 Jun , Changchun Yatai , 1 - 0 , Qingdao West C.
Wed 25 Jun , Meizhou Hakka , 0 - 4 , Beijing Guoan
Wed 25 Jun , Shandong T. , 3 - 1 , Wuhan Three T.
Wed 25 Jun , Chengdu , 5 - 0 , Shenzhen P. C.
Thu 26 Jun , Shanghai Port , 3 - 0 , Dalian Yingbo
Thu 26 Jun , Yunnan Yukun , 2 - 1 , Henan SL
Sun 29 Jun , Changchun Yatai , 1 - 2 , S. Shenhua
Sun 29 Jun , Qingdao West C. , 1 - 0 , Qingdao Hainiu
Sun 29 Jun , Meizhou Hakka , 1 - 2 , Tianjin T.
Sun 29 Jun , Wuhan Three T. , 2 - 2 , Chengdu
Mon 30 Jun , Henan SL , 2 - 2 , Shandong T.
Mon 30 Jun , Beijing Guoan , 2 - 1 , Yunnan Yukun
Mon 30 Jun , Dalian Yingbo , 1 - 0 , Zhejiang
Mon 30 Jun , Shenzhen P. C. , 1 - 2 , Shanghai Port
Fri 18 Jul , Changchun Yatai , 1 - 3 , Shanghai Port
Fri 18 Jul , Wuhan Three T. , 1 - 1 , Qingdao West C.
Fri 18 Jul , Tianjin T. , 2 - 1 , Chengdu
Fri 18 Jul , Zhejiang , 3 - 1 , Yunnan Yukun
Sat 19 Jul , Dalian Yingbo , 2 - 0 , Shandong T.
Sat 19 Jul , Beijing Guoan , 1 - 3 , S. Shenhua
Sat 19 Jul , Shenzhen P. C. , 4 - 0 , Qingdao Hainiu
Sat 19 Jul , Henan SL , 1 - 1 , Meizhou Hakka
Sat 26 Jul , Shanghai Port , 2 - 2 , Qingdao West C.
Sat 26 Jul , Chengdu , 2 - 0 , Beijing Guoan
Sat 26 Jul , Yunnan Yukun , 3 - 1 , Shenzhen P. C.
Sun 27 Jul , Changchun Yatai , 0 - 2 , Dalian Yingbo
Sun 27 Jul , Qingdao Hainiu , 2 - 0 , Tianjin T.
Sun 27 Jul , S. Shenhua , 3 - 2 , Henan SL
Sun 27 Jul , Zhejiang , 3 - 2 , Wuhan Three T.
Sun 27 Jul , Shandong T. , 3 - 0 , Meizhou Hakka
Sat 2 Aug , Yunnan Yukun , 4 - 4 , S. Shenhua
Sat 2 Aug , Chengdu , 2 - 1 , Shandong T.
Sat 2 Aug , Qingdao West C. , 2 - 1 , Henan SL
Sat 2 Aug , Meizhou Hakka , 2 - 4 , Shanghai Port
Sun 3 Aug , Dalian Yingbo , 2 - 0 , Qingdao Hainiu
Sun 3 Aug , Beijing Guoan , 2 - 2 , Tianjin T.
Sun 3 Aug , Wuhan Three T. , 0 - 0 , Changchun Yatai
Sun 3 Aug , Shenzhen P. C. , 2 - 4 , Zhejiang
Fri 8 Aug , Dalian Yingbo , 0 - 2 , Chengdu
Fri 8 Aug , Henan SL , 4 - 1 , Shenzhen P. C.
Sat 9 Aug , Shandong T. , 2 - 1 , Changchun Yatai
Sat 9 Aug , S. Shenhua , 1 - 2 , Shanghai Port
Sat 9 Aug , Qingdao Hainiu , 5 - 1 , Yunnan Yukun
Sun 10 Aug , Tianjin T. , 0 - 0 , Qingdao West C.
Sun 10 Aug , Zhejiang , 3 - 4 , Beijing Guoan
Sun 10 Aug , Wuhan Three T. , 1 - 2 , Meizhou Hakka
Fri 15 Aug , Shanghai Port , 4 - 1 , Henan SL
Fri 15 Aug , Yunnan Yukun , 2 - 1 , Wuhan Three T.
Sat 16 Aug , Tianjin T. , 2 - 0 , Dalian Yingbo
Sat 16 Aug , Changchun Yatai , 1 - 0 , Meizhou Hakka
Sat 16 Aug , Qingdao West C. , 1 - 3 , Beijing Guoan
Sat 16 Aug , Shenzhen P. C. , 1 - 3 , Shandong T.
Sat 16 Aug , Zhejiang , 0 - 0 , S. Shenhua
Sat 16 Aug , Chengdu , 0 - 0 , Qingdao Hainiu
Wed 20 Aug , Zhejiang , 2 - 0 , Tianjin T.
Sat 23 Aug , Qingdao Hainiu , 0 - 2 , S. Shenhua
Sat 23 Aug , Yunnan Yukun , 1 - 5 , Chengdu
Sun 24 Aug , Changchun Yatai , 1 - 0 , Shenzhen P. C.
Sun 24 Aug , Meizhou Hakka , 2 - 2 , Zhejiang
Sun 24 Aug , Shanghai Port , 1 - 1 , Tianjin T.
Sun 24 Aug , Henan SL , 4 - 0 , Dalian Yingbo
Sun 24 Aug , Shandong T. , 3 - 2 , Qingdao West C.
Mon 25 Aug , Beijing Guoan , 4 - 0 , Wuhan Three T.
Fri 29 Aug , Qingdao Hainiu , 1 - 1 , Henan SL
Sat 30 Aug , Chengdu , 4 - 1 , Shanghai Port
Sat 30 Aug , Yunnan Yukun , 1 - 1 , Changchun Yatai
Sun 31 Aug , Wuhan Three T. , 1 - 0 , S. Shenhua
Sun 31 Aug , Shandong T. , 6 - 0 , Beijing Guoan
Sun 31 Aug , Shenzhen P. C. , 2 - 0 , Meizhou Hakka
Fri 12 Sep , Shanghai Port , 4 - 2 , Yunnan Yukun
Fri 12 Sep , Chengdu , 1 - 0 , Changchun Yatai
Fri 12 Sep , Henan SL , 2 - 0 , Beijing Guoan
Fri 12 Sep , S. Shenhua , 3 - 3 , Shandong T.
Sat 13 Sep , Qingdao West C. , 0 - 2 , Zhejiang
Sun 14 Sep , Dalian Yingbo , 2 - 1 , Shenzhen P. C.
Sun 14 Sep , Tianjin T. , 4 - 0 , Wuhan Three T.
Fri 19 Sep , Wuhan Three T. , 2 - 5 , Henan SL
Fri 19 Sep , Yunnan Yukun , 1 - 1 , Dalian Yingbo
Sat 20 Sep , Changchun Yatai , 3 - 3 , Zhejiang
Sat 20 Sep , Meizhou Hakka , 1 - 2 , Qingdao West C.
Sat 20 Sep , Qingdao Hainiu , 2 - 2 , Shandong T.
Sun 21 Sep , Beijing Guoan , 2 - 3 , Shanghai Port
Sun 21 Sep , Tianjin T. , 1 - 0 , Shenzhen P. C.
Sun 21 Sep , S. Shenhua , 1 - 1 , Chengdu
Fri 26 Sep , S. Shenhua , 6 - 1 , Meizhou Hakka
Fri 26 Sep , Beijing Guoan , 4 - 2 , Dalian Yingbo
Fri 26 Sep , Shanghai Port , 3 - 2 , Wuhan Three T.
Fri 26 Sep , Zhejiang , 3 - 3 , Chengdu
Sat 27 Sep , Changchun Yatai , 2 - 2 , Qingdao Hainiu
Sun 28 Sep , Tianjin T. , 1 - 0 , Henan SL
Sun 28 Sep , Shenzhen P. C. , 1 - 2 , Qingdao West C.
Sat 4 Oct , Meizhou Hakka , 1 - 0 , Qingdao Hainiu
Sat 4 Oct , Dalian Yingbo , 0 - 2 , Qingdao West C.
Sat 4 Oct , Shandong T. , 1 - 1 , Yunnan Yukun
Fri 17 Oct , Qingdao Hainiu , 3 - 4 , Shanghai Port
Fri 17 Oct , Chengdu , 3 - 1 , Meizhou Hakka
Fri 17 Oct , Qingdao West C. , 1 - 2 , S. Shenhua
Sat 18 Oct , Shenzhen P. C. , 2 - 1 , Beijing Guoan
Sat 18 Oct , Zhejiang , 2 - 2 , Shandong T.
Sat 18 Oct , Yunnan Yukun , 2 - 0 , Tianjin T.
Sun 19 Oct , Dalian Yingbo , 0 - 0 , Wuhan Three T.
Sun 19 Oct , Henan SL , 2 - 0 , Changchun Yatai
Fri 24 Oct , Meizhou Hakka , 1 - 4 , Yunnan Yukun
Fri 24 Oct , Wuhan Three T. , 1 - 2 , Shenzhen P. C.
Sat 25 Oct , Tianjin T. , 2 - 2 , Changchun Yatai
Sat 25 Oct , Henan SL , 2 - 2 , Zhejiang
Sun 26 Oct , Shandong T. , 3 - 1 , Shanghai Port
Sun 26 Oct , Qingdao West C. , 2 - 2 , Chengdu
Sun 26 Oct , Beijing Guoan , 2 - 4 , Qingdao Hainiu
Sun 26 Oct , S. Shenhua , 2 - 2 , Dalian Yingbo
Fri 31 Oct , Shanghai Port , 3 - 0 , Zhejiang
Fri 31 Oct , Chengdu , 1 - 2 , Henan SL
Fri 31 Oct , S. Shenhua , 1 - 0 , Shenzhen P. C.
Sat 1 Nov , Changchun Yatai , 0 - 4 , Beijing Guoan
Sat 1 Nov , Shandong T. , 2 - 1 , Tianjin T.
Sat 1 Nov , Meizhou Hakka , 2 - 2 , Dalian Yingbo
Sun 2 Nov , Qingdao Hainiu , 1 - 0 , Wuhan Three T.
Sun 2 Nov , Yunnan Yukun , 1 - 0 , Qingdao West C.
