Wed 13 Aug , Throttur R. , 3 - 1 , IR Reykjavik
Sun 17 Aug , Fylkir , 4 - 0 , Keflavik
Sun 17 Aug , HK Kopavogur , 3 - 3 , Grindavik
Sun 17 Aug , Njardvik , 2 - 3 , Throttur R.
Sun 17 Aug , Selfoss , 1 - 2 , Fjolnir
Sun 17 Aug , IR Reykjavik , 0 - 1 , Thor Akureyri
Sun 17 Aug , Volsungur , 1 - 2 , Leiknir R.
Sat 23 Aug , Fjolnir , 1 - 5 , HK Kopavogur
Sat 23 Aug , Grindavik , 0 - 4 , Fylkir
Sat 23 Aug , Leiknir R. , 1 - 1 , IR Reykjavik
Sat 23 Aug , Throttur R. , 2 - 1 , Selfoss
Sat 23 Aug , Thor Akureyri , 3 - 1 , Njardvik
Sat 23 Aug , Keflavik , 7 - 2 , Volsungur
Fri 29 Aug , Fjolnir , 1 - 2 , Throttur R.
Fri 29 Aug , IR Reykjavik , 4 - 2 , Keflavik
Fri 29 Aug , Njardvik , 3 - 1 , Leiknir R.
Fri 29 Aug , HK Kopavogur , 0 - 2 , Fylkir
Sat 30 Aug , Volsungur , 2 - 0 , Grindavik
Sat 30 Aug , Selfoss , 3 - 2 , Thor Akureyri
Sat 6 Sep , Fylkir , 1 - 2 , Volsungur
Sat 6 Sep , Grindavik , 3 - 1 , IR Reykjavik
Sat 6 Sep , HK Kopavogur , 5 - 2 , Throttur R.
Sat 6 Sep , Keflavik , 2 - 1 , Njardvik
Sat 6 Sep , Leiknir R. , 2 - 0 , Selfoss
Sat 6 Sep , Thor Akureyri , 2 - 1 , Fjolnir
Sat 13 Sep , Fjolnir , 1 - 2 , Leiknir R.
Sat 13 Sep , IR Reykjavik , 1 - 2 , Fylkir
Sat 13 Sep , Njardvik , 3 - 0 , Grindavik
Sat 13 Sep , Selfoss , 1 - 4 , Keflavik
Sat 13 Sep , Throttur R. , 1 - 2 , Thor Akureyri
Sat 13 Sep , Volsungur , 0 - 4 , HK Kopavog
