Sat 1 Nov , Darmstadt , 2 - 2 , Bielefeld
Sun 2 Nov , Bochum , 2 - 0 , Magdeburg
Sun 2 Nov , Dusseldorf , 1 - 1 , Kaiserslautern
Sun 2 Nov , Paderborn , 2 - 1 , Greuther Furth
Fri 7 Nov , Dynamo Dresden , 1 - 2 , FC Nurnberg
Fri 7 Nov , Greuther Furth , 1 - 0 , Preuss. Munster
Sat 8 Nov , Bielefeld , 4 - 0 , Karlsruher SC
Sat 8 Nov , Hannover 96 , 2 - 3 , Darmstadt
Sat 8 Nov , Schalke 04 , 1 - 0 , Elversberg
Sat 8 Nov , Kaiserslautern , 0 - 1 , Hertha Berlin
Sun 9 Nov , Braunschweig , 0 - 2 , Bochum
Sun 9 Nov , Holstein Kiel , 1 - 0 , Dusseldorf
Sun 9 Nov , Magdeburg , 0 - 1 , Paderborn
