Sun 15 Jun , Coquimbo Unido , 1 - 0 , U. de Chile
Mon 16 Jun , Nublense , 2 - 3 , Audax Italiano
Tue 17 Jun , D. Iquique , 1 - 2 , Everton
Tue 17 Jun , Colo-Colo , 4 - 0 , Cobresal
Fri 20 Jun , Union La Calera , 1 - 1 , U. Catolica
Sat 21 Jun , Union Espanola , 0 - 2 , Coquimbo Unido
Sat 21 Jun , U. de Chile , 3 - 1 , D. Iquique
Sat 21 Jun , Huachipato , 2 - 2 , Palestino
Sun 22 Jun , La Serena , 1 - 1 , D. Limache
Sun 22 Jun , Audax Italiano , 2 - 1 , Colo-Colo
Sun 22 Jun , Cobresal , 1 - 1 , Nublense
Mon 23 Jun , Everton , 0 - 1 , OHiggins
Sat 5 Jul , Union Espanola , 0 - 2 , U. de Chile
Sun 6 Jul , U. Catolica , 2 - 0 , Colo-Colo
Sat 12 Jul , U. de Chile , 2 - 1 , Colo-Colo
Fri 18 Jul , Everton , 0 - 0 , D. Limache
Sat 19 Jul , Union Espanola , 3 - 1 , Union La Calera
Sat 19 Jul , Colo-Colo , 2 - 1 , La Serena
Sat 19 Jul , Coquimbo Unido , 4 - 1 , D. Iquique
Sun 20 Jul , Audax Italiano , 1 - 1 , U. Catolica
Sun 20 Jul , Nublense , 2 - 2 , U. de Chile
Mon 21 Jul , Huachipato , 2 - 1 , OHiggins
Fri 25 Jul , D. Limache , 0 - 1 , Nublense
Sat 26 Jul , La Serena , 0 - 2 , Cobresal
Sat 26 Jul , Everton , 4 - 1 , Huachipato
Sun 27 Jul , OHiggins , 1 - 1 , Colo-Colo
Sun 27 Jul , Palestino , 1 - 0 , Union Espanola
Sun 27 Jul , U. Catolica , 0 - 3 , Coquimbo Unido
Sun 27 Jul , D. Iquique , 1 - 0 , Audax Italiano
Mon 28 Jul , Union La Calera , 0 - 4 , U. de Chile
Fri 1 Aug , Audax Italiano , 1 - 1 , Palestino
Sat 2 Aug , Union Espanola , 1 - 0 , La Serena
Sat 2 Aug , Coquimbo Unido , 2 - 1 , D. Limache
Sat 2 Aug , D. Iquique , 2 - 2 , U. Catolica
Sun 3 Aug , OHiggins , 1 - 0 , Union La Calera
Sun 3 Aug , Colo-Colo , 2 - 2 , Huachipato
Sun 3 Aug , Nublense , 1 - 0 , Everton
Mon 4 Aug , U. de Chile , 0 - 1 , Cobresal
Fri 8 Aug , Palestino , 2 - 0 , D. Iquique
Sat 9 Aug , Huachipato , 1 - 0 , Union La Calera
Sat 9 Aug , U. de Chile , 4 - 1 , Union Espanola
Sat 9 Aug , La Serena , 3 - 3 , OHiggins
Sun 10 Aug , Everton , 1 - 1 , Colo-Colo
Sun 10 Aug , Cobresal , 1 - 2 , Coquimbo Unido
Mon 11 Aug , D. Limache , 4 - 0 , Audax Italiano
Fri 15 Aug , Union Espanola , 2 - 2 , D. Iquique
Sat 16 Aug , Union La Calera , 1 - 1 , La Serena
Sat 16 Aug , Nublense , 1 - 0 , Palestino
Sat 16 Aug , Colo-Colo , 1 - 4 , U. Catolica
Sat 16 Aug , OHiggins , 1 - 0 , Cobresal
Sun 17 Aug , U. de Chile , 1 - 3 , Audax Italiano
Sun 17 Aug , Huachipato , 4 - 0 , D. Limache
Sun 17 Aug , Coquimbo Unido , 2 - 1 , Everton
Fri 22 Aug , Palestino , 0 - 0 , Colo-Colo
Sat 23 Aug , D. Limache , 2 - 2 , OHiggins
Sat 23 Aug , Cobresal , 1 - 0 , Union La Calera
Sat 23 Aug , Audax Italiano , 0 - 1 , Coquimbo Unido
Sun 24 Aug , U. Catolica , 2 - 0 , Union Espanola
Sun 24 Aug , La Serena , 0 - 2 , Huachipato
Sun 24 Aug , D. Iquique , 0 - 2 , Nublense
Thu 28 Aug , Everton , 3 - 1 , La Serena
Fri 29 Aug , Union La Calera , 1 - 2 , Palestino
Sat 30 Aug , Huachipato , 0 - 1 , Coquimbo Unido
Sat 30 Aug , OHiggins , 3 - 2 , Audax Italiano
Sat 30 Aug , U. Catolica , 2 - 1 , Cobresal
Sun 31 Aug , D. Iquique , 2 - 1 , D. Limache
Sun 31 Aug , Colo-Colo , 1 - 0 , U. de Chile
Sun 31 Aug , Nublense , 1 - 2 , Union Espanola
Sun 7 Sep , Cobresal , 2 - 1 , Palestino
Fri 12 Sep , Coquimbo Unido , 2 - 1 , Nublense
Fri 12 Sep , Union La Calera , 1 - 0 , Everton
Sat 13 Sep , Union Espanola , 3 - 4 , Audax Italiano
Sat 13 Sep , Palestino , 1 - 2 , OHiggins
Sat 13 Sep , Cobresal , 3 - 2 , Huachipato
Sat 13 Sep , D. Limache , 0 - 1 , U. Catolica
Fri 26 Sep , Colo-Colo , 4 - 0 , D. Iquique
Sun 28 Sep , La Serena , 1 - 1 , U. de Chile
Thu 9 Oct , U. Catolica , 1 - 0 , Nublense
Sun 12 Oct , Union Espanola , 4 - 2 , Huachipato
