Sat 1 Nov , Feyenoord , 3 - 1 , FC Volendam
Sat 1 Nov , Telstar , 2 - 2 , Excelsior
Sun 2 Nov , Heracles Almelo , 8 - 2 , PEC Zwolle
Sun 2 Nov , FC Groningen , 1 - 1 , FC Twente
Sun 2 Nov , Sparta , 0 - 1 , AZ Alkmaar
Sun 2 Nov , FC Utrecht , 1 - 0 , NEC Nijmegen
Fri 7 Nov , FC Twente , 0 - 0 , Telstar
Sat 8 Nov , Excelsior , 1 - 2 , Heracles Almelo
Sat 8 Nov , FC Volendam , 2 - 1 , NAC Breda
Sat 8 Nov , Fortuna Sittard , 2 - 0 , Heerenveen
Sat 8 Nov , PEC Zwolle , 1 - 0 , Sparta
Sun 9 Nov , FC Utrecht , 2 - 1 , Ajax Amsterdam
Sun 9 Nov , NEC Nijmegen , 2 - 0 , FC Groningen
Sun 9 Nov , AZ Alkmaar , 1 - 5 , PSV Eindhoven
Sun 9 Nov , Go Ahead Eagles , 2 - 1 , Feyenoord
