Sat 10 May , Goiania , 0 - 1 , Goianesia-
Sat 10 May , Maranhao , 2 - 3 , Tocantinopolis+
Sat 10 May , Operario MS , 1 - 1 , Itabirito-
Sat 10 May , Sao Luiz , 1 - 0 , Brasil de P.-
Sat 10 May , Horizonte , 0 - 1 , Treze-
Sat 10 May , Iguatu , 3 - 0 , Parnahyba+
Sat 10 May , Penedense , 0 - 1 , Lagarto-
Sat 10 May , Porto Velho , 3 - 1 , Aparecidense+
Sat 10 May , Porto Vitória , 2 - 0 , Agua Santa-
Sat 10 May , Portuguesa , 2 - 1 , Rio Branco ES+
Sat 10 May , Pouso Alegre , 1 - 0 , Nova Iguacu-
Sat 10 May , Sergipe , 1 - 2 , ASA+
Sat 10 May , Uberlandia , 2 - 1 , Goiatuba EC+
Sat 10 May , Uniao C. , 3 - 0 , Barcelona BA+
Sat 10 May , Azuriz , 0 - 1 , Barra FC-
Sat 10 May , Independencia , 4 - 1 , GAS+
Sat 10 May , Luverdense , 2 - 2 , Ceilandia+
Sat 10 May , Marcilio Dias , 1 - 0 , Joinville-
Sat 10 May , Capital , 1 - 1 , Mixto-
Sat 10 May , Imperatriz , 1 - 0 , Sampaio Correa-
Sun 11 May , Tuna Luso , 3 - 0 , Manaus+
Sun 11 May , Guarany de Bage , 1 - 0 , EC Sao Jose-
Sun 11 May , Jequie , 2 - 3 , Juazeirense+
Sun 11 May , Manauara , 0 - 0 , Aguia de Maraba-
Sun 11 May , Sousa , 4 - 0 , Ferroviario+
Wed 14 May , Trem , 5 - 1 , Humaita+
Sat 17 May , Cianorte , 0 - 0 , Inter Limeira-
Sat 17 May , Lagarto , 0 - 0 , ASA-
Sat 17 May , Monte Azul , 0 - 1 , Cascavel-
Sat 17 May , Aparecidense , 3 - 1 , Goiania+
Sat 17 May , Marica , 1 - 0 , Pouso Alegre-
Sat 17 May , Joinville , 2 - 1 , Barra FC+
Sat 17 May , Nova Iguacu , 2 - 1 , Boavista+
Sat 17 May , Manaus , 1 - 1 , Manauara-
Sat 17 May , Aguia de Maraba , 0 - 0 , Tuna Luso-
Sat 17 May , Porto Vitória , 1 - 3 , Portuguesa+
Sat 17 May , Mixto , 1 - 1 , Ceilandia-
Sat 17 May , Iguatu , 2 - 3 , Altos+
Sat 17 May , Agua Santa , 1 - 2 , Rio Branco ES+
Sun 18 May , Marcilio Dias , 1 - 0 , Azuriz-
Sun 18 May , Capital , 2 - 0 , Luverdense-
Sun 18 May , Barcelona BA , 0 - 0 , Jequie-
Sun 18 May , Brasil de P. , 0 - 0 , Guarany de Bage-
Sun 18 May , Central SC , 1 - 2 , Santa Cruz+
Sun 18 May , EC Sao Jose , 3 - 0 , Sao Luiz+
Sun 18 May , Goianesia , 1 - 1 , Porto Velho-
Sun 18 May , Goiatuba EC , 2 - 0 , Operario MS-
Sun 18 May , Horizonte , 2 - 1 , Sousa+
Sun 18 May , Juazeirense , 1 - 0 , Uniao C.-
Sun 18 May , Parnahyba , 3 - 2 , Maracana+
Sun 18 May , Penedense , 0 - 1 , Sergipe-
Sun 18 May , Treze , 1 - 0 , Ferroviario-
Sun 18 May , America RN , 3 - 0 , Santa C. Natal+
Sun 18 May , Itabirito , 1 - 3 , Uberlandia+
Sun 18 May , Humaita , 2 - 4 , GAS+
Wed 21 May , Tocantinopolis , 1 - 2 , Imperatriz+
Wed 21 May , Sampaio Correa , 1 - 1 , Maranhao-
Wed 21 May , Trem , 1 - 2 , Independencia+
Sat 24 May , Santa C. Natal , 1 - 0 , Treze-
Sat 24 May , Cascavel , 3 - 1 , Operario MS+
Sat 24 May , Altos , 1 - 1 , Imperatriz-
Sat 24 May , Boavista , 2 - 2 , Agua Santa+
Sat 24 May , Marica , 2 - 1 , Porto Vitória+
Sat 24 May , Goiania , 1 - 3 , Mixto+
Sat 24 May , Inter Limeira , 3 - 1 , Itabirito+
Sat 24 May , Juazeirense , 1 - 0 , Penedense-
Sat 24 May , Manauara , 5 - 0 , Humaita+
Sat 24 May , Maranhao , 1 - 1 , Parnahyba-
Sat 24 May , Tocantinopolis , 1 - 1 , Iguatu-
Sat 24 May , Ceilandia , 2 - 3 , Aparecidense+
Sat 24 May , Aguia de Maraba , 0 - 2 , Trem-
Sat 24 May , ASA , 4 - 0 , Barcelona BA+
Sat 24 May , Goiatuba EC , 1 - 1 , Monte Azul-
Sat 24 May , Portuguesa , 2 - 1 , Pouso Alegre+
Sat 24 May , Rio Branco ES , 0 - 1 , Nova Iguacu-
Sat 24 May , Uberlandia , 1 - 1 , Cianorte-
