Sat 7 Jun , Busan IPark , 0 - 2 , Ansan Greeners
Sat 7 Jun , Gyeongnam , 0 - 1 , Hwaseong
Sat 7 Jun , Jeonnam , 1 - 1 , Seoul E-Land
Sun 8 Jun , Gimpo , 1 - 0 , Cheonan City
Sun 8 Jun , Incheon Utd , 1 - 0 , Bucheon FC
Sat 14 Jun , Asan , 0 - 1 , Cheonan City
Sat 14 Jun , Bucheon FC , 3 - 1 , Seoul E-Land
Sat 14 Jun , Cheongju , 0 - 1 , Seongnam
Sun 15 Jun , Gimpo , 3 - 0 , Gyeongnam
Sun 15 Jun , Hwaseong , 0 - 0 , Ansan Greeners
Sun 15 Jun , Jeonnam , 0 - 1 , Busan IPark
Sun 15 Jun , Suwon Bluewings , 1 - 2 , Incheon Utd
Sat 21 Jun , Ansan Greeners , 0 - 1 , Bucheon FC
Sat 21 Jun , Cheonan City , 4 - 2 , Seoul E-Land
Sat 21 Jun , Incheon Utd , 2 - 0 , Hwaseong
Sat 21 Jun , Seongnam , 0 - 2 , Asan
Sun 22 Jun , Busan IPark , 2 - 2 , Cheongju
Sun 22 Jun , Gyeongnam , 1 - 3 , Suwon Bluewings
Sun 22 Jun , Jeonnam , 0 - 0 , Gimpo
Sat 28 Jun , Ansan Greeners , 0 - 0 , Cheonan City
Sat 28 Jun , Asan , 1 - 1 , Seoul E-Land
Sat 28 Jun , Bucheon FC , 2 - 0 , Gyeongnam
Sat 28 Jun , Hwaseong , 1 - 0 , Seongnam
Sun 29 Jun , Cheongju , 2 - 2 , Jeonnam
Sun 29 Jun , Gimpo , 1 - 1 , Incheon Utd
Sun 29 Jun , Suwon Bluewings , 1 - 1 , Busan IPark
Sat 5 Jul , Asan , 2 - 3 , Suwon Bluewings
Sat 5 Jul , Cheongju , 2 - 1 , Seoul E-Land
Sat 5 Jul , Gyeongnam , 1 - 1 , Ansan Greeners
Sat 5 Jul , Jeonnam , 2 - 1 , Incheon Utd
Sun 6 Jul , Gimpo , 3 - 0 , Busan IPark
Sun 6 Jul , Hwaseong , 0 - 1 , Bucheon FC
Sun 6 Jul , Seongnam , 0 - 0 , Cheonan City
Sat 12 Jul , Busan IPark , 0 - 0 , Seongnam
Sat 12 Jul , Cheonan City , 2 - 3 , Hwaseong
Sat 12 Jul , Jeonnam , 1 - 0 , Gyeongnam
Sat 12 Jul , Suwon Bluewings , 1 - 0 , Cheongju
Sun 13 Jul , Ansan Greeners , 2 - 2 , Seoul E-Land
Sun 13 Jul , Bucheon FC , 1 - 1 , Gimpo
Sun 13 Jul , Incheon Utd , 2 - 1 , Asan
Sat 19 Jul , Gimpo , 2 - 2 , Ansan Greeners
Sat 19 Jul , Hwaseong , 1 - 0 , Busan IPark
Sat 19 Jul , Jeonnam , 3 - 4 , Suwon Bluewings
Sat 19 Jul , Seoul E-Land , 0 - 1 , Seongnam
Sun 20 Jul , Bucheon FC , 5 - 3 , Asan
Sun 20 Jul , Cheongju , 2 - 1 , Cheonan City
Sun 20 Jul , Gyeongnam , 0 - 2 , Incheon Utd
Sat 26 Jul , Asan , 1 - 1 , Hwaseong
Sat 26 Jul , Busan IPark , 4 - 2 , Bucheon FC
Sat 26 Jul , Cheonan City , 4 - 0 , Gyeongnam
Sat 26 Jul , Cheongju , 0 - 3 , Gimpo
Sun 27 Jul , Incheon Utd , 4 - 2 , Ansan Greeners
Sun 27 Jul , Seongnam , 2 - 2 , Jeonnam
Sun 27 Jul , Suwon Bluewings , 0 - 2 , Seoul E-Land
Sat 2 Aug , Ansan Greeners , 1 - 2 , Cheongju
Sat 2 Aug , Bucheon FC , 2 - 3 , Seongnam
Sat 2 Aug , Cheonan City , 1 - 2 , Suwon Bluewings
Sat 2 Aug , Gyeongnam , 1 - 0 , Busan IPark
Sat 2 Aug , Hwaseong , 0 - 1 , Gimpo
Sat 2 Aug , Jeonnam , 2 - 2 , Asan
Sat 2 Aug , Seoul E-Land , 0 - 0 , Incheon Utd
Sat 9 Aug , Asan , 2 - 2 , Gyeongnam
Sat 9 Aug , Busan IPark , 0 - 2 , Incheon Utd
Sat 9 Aug , Suwon Bluewings , 3 - 1 , Ansan Greeners
Sat 9 Aug , Seongnam , 0 - 0 , Gimpo
Sun 10 Aug , Jeonnam , 3 - 4 , Cheonan City
Sun 10 Aug , Seoul E-Land , 0 - 0 , Hwaseong
Sun 10 Aug , Cheongju , 0 - 1 , Bucheon FC
Fri 15 Aug , Ansan Greeners , 0 - 2 , Asan
Fri 15 Aug , Jeonnam , 2 - 1 , Bucheon FC
Sat 16 Aug , Cheongju , 1 - 1 , Hwaseong
Sat 16 Aug , Gimpo , 3 - 1 , Suwon Bluewings
Sat 16 Aug , Gyeongnam , 1 - 1 , Seoul E-Land
Sat 16 Aug , Incheon Utd , 1 - 2 , Seongnam
Sun 17 Aug , Cheonan City , 0 - 1 , Busan IPark
Sat 23 Aug , Jeonnam , 2 - 0 , Ansan Greeners
Sat 23 Aug , Seongnam , 2 - 1 , Gyeongnam
Sat 23 Aug , Seoul E-Land , 1 - 1 , Gimpo
Sat 23 Aug , Bucheon FC , 0 - 0 , Cheonan City
Sun 24 Aug , Asan , 0 - 1 , Busan IPark
Sun 24 Aug , Cheongju , 0 - 4 , Incheon Utd
Sun 24 Aug , Hwaseong , 1 - 1 , Suwon Bluewings
Sat 30 Aug , Ansan Greeners , 0 - 1 , Hwaseong
Sat 30 Aug , Busan IPark , 2 - 2 , Cheongju
Sat 30 Aug , Gimpo , 2 - 0 , Jeonnam
Sat 30 Aug , Incheon Utd , 1 - 1 , Asan
Sat 30 Aug , Suwon Bluewings , 2 - 2 , Seongnam
Sun 31 Aug , Cheonan City , 2 - 5 , Seoul E-Land
Sun 31 Aug , Gyeongnam , 1 - 2 , Bucheon FC
Sat 6 Sep , Busan IPark , 1 - 0 , Suwon Bluewings
Sat 6 Sep , Cheongju , 0 - 1 , Gyeongnam
Sat 6 Sep , Jeonnam , 1 - 2 , Seoul E-Land
Sat 6 Sep , Seongnam , 4 - 0 , Ansan Greeners
Sun 7 Sep , Bucheon FC , 1 - 0 , Incheon Utd
Sun 7 Sep , Gimpo , 1 - 3 , Cheonan City
Sun 7 Sep , Hwaseong , 1 - 1 , Asan
Sat 13 Sep , Asan , 3 - 0 , Bucheon FC
Sat 13 Sep , Cheonan City , 3 - 4 , Incheon Utd
Sat 13 Sep , Gyeongnam , 0 - 2 , Gimpo
Sat 13 Sep , Seoul E-Land , 0 - 1 , Suwon Bluewings
Sun 14 Sep , Ansan Greeners , 2 - 3 , Busan IPark
Sun 14 Sep , Cheongju , 0 - 1 , Seongnam
Sun 14 Sep , Jeonnam , 1 - 2 , Hwaseong
Sat 20 Sep , Bucheon FC , 2 - 2 , Seoul E-Land
Sat 20 Sep , Suwon Bluewings , 1 - 2 , Gyeongnam
Sat 20 Sep , Incheon Utd , 1 - 2 , Gimpo
Sat 20 Sep , Seongnam , 3 - 0 , Asan
Sun 21 Sep , Ansan Greeners , 0 - 0 , Cheongju
Sun 21 Sep , Cheonan City , 2 - 2 , Hwaseong
Sun 21 Sep , Busan IPark , 1 - 1 , Jeonnam
Sat 27 Sep , Jeonnam , 3 - 2 , Bucheon FC
Sat 27 Sep , Asan , 1 - 3 , Suwon Bluewings
Sat 27 Sep , Cheongju , 0 - 1 , Cheonan City
Sun 28 Sep , Gyeongnam , 1 - 0 , Ansan Greeners
Sun 28 Sep , Hwaseong , 1 - 1 , Busan IPark
Sun 28 Sep , Gimpo , 0 - 0 , Seongnam
Sun 28 Sep , Seoul E-Land , 0 - 0 , Incheon Utd
Fri 3 Oct , Seongnam , 0 - 2 , Seoul E-Land
Sat 4 Oct , Gimpo , 1 - 1 , Ansan Greeners
Sat 4 Oct , Suwon Bluewings , 2 - 2 , Bucheon FC
Sat 4 Oct , Asan , 0 - 0 , Cheongju
Sat 4 Oct , Hwaseong , 0 - 1 , Incheon Utd
Sun 5 Oct , Jeonnam , 4 - 1 , Cheonan City
Sun 5 Oct , Busan IPark , 1 - 1 , Gyeongnam
Tue 7 Oct , Seoul E-Land , 1 - 1 , Hwaseong
Tue 7 Oct , Cheongju , 0 - 2 , Gimpo
Wed 8 Oct , Cheonan City , 0 - 0 , Busan IPark
Wed 8 Oct , Gyeongnam , 2 - 3 , Jeonnam
Wed 8 Oct , Incheon Utd , 1 - 1 , Suwon Bluewings
Wed 8 Oct , Ansan Greeners , 0 - 1 , Asan
Wed 8 Oct , Bucheon FC , 1 - 0 , Seongnam
Sat 11 Oct , Gimpo , 0 - 1 , Seoul E-Land
Sat 11 Oct , Hwaseong , 1 - 0 , Cheongju
Sun 12 Oct , Busan IPark , 1 - 2 , Bucheon FC
Sun 12 Oct , Jeonnam , 0 - 1 , Ansan Greeners
Sun 12 Oct , Suwon Bluewings , 5 - 0 , Cheonan City
Sun 12 Oct , Asan , 1 - 0 , Gyeongnam
Sun 12 Oct , Seongnam , 2 - 2 , Incheon Utd
Sun 19 Oct , Ansan Greeners , 0 - 1 , Incheon Utd
Sun 19 Oct , Asan , 1 - 0 , Gimpo
Sun 19 Oct , Gyeongnam , 0 - 1 , Seongnam
Sun 19 Oct , Seoul E-Land , 3 - 0 , Busan IPark
Sun 19 Oct , Bucheon FC , 2 - 1 , Cheonan City
Sun 19 Oct , Cheongju , 0 - 3 , Jeonnam
Sun 19 Oct , Hwaseong , 2 - 3 , Suwon Bluewings
Sat 25 Oct , Seongnam , 1 - 0 , Hwaseong
Sat 25 Oct , Suwon Bluewings , 2 - 2 , Jeonnam
Sat 25 Oct , Busan IPark , 4 - 1 , Gimpo
Sat 25 Oct , Cheonan City , 0 - 0 , Ansan Greeners
Sat 25 Oct , Cheongju , 0 - 0 , Bucheon FC
Sun 26 Oct , Incheon Utd , 3 - 0 , Gyeongnam
Sun 26 Oct , Seoul E-Land , 4 - 1 , Asan
Sat 1 Nov , Gyeongnam , 0 - 0 , Seoul E-Land
Sat 1 Nov , Suwon Bluewings , 2 - 0 , Cheongju
Sat 1 Nov , Bucheon FC , 2 - 0 , Ansan Greeners
Sat 1 Nov , Gimpo , 5 - 1 , Hwaseong
Sun 2 Nov , Incheon Utd , 0 - 0 , Busan IPark
Sun 2 Nov , Jeonnam , 0 - 2 , Seongnam
Sun 2 Nov , Asan , 1 - 1 , Cheonan City
Sat 8 Nov , Hwaseong , 0 - 1 , Gyeongnam
Sat 8 Nov , Jeonnam , 2 - 1 , Incheon Utd
Sat 8 Nov , Busan IPark , 0 - 3 , Asan
Sat 8 Nov , Cheonan City , 1 - 3 , Seongnam
Sun 9 Nov , Ansan Greeners , 1 - 1 , Suwon Bluewings
Sun 9 Nov , Cheongju , 0 - 2 , Seoul E-Land
Sun 9 Nov , Gimpo , 0 - 1 , Bucheon FC
