Sun 5 Oct , CF America , 3 - 0 , Santos Laguna
Mon 6 Oct , Pumas UNAM , 1 - 2 , Guadalajara
Mon 6 Oct , Tijuana , 2 - 2 , Monterrey
Sat 18 Oct , Puebla , 4 - 3 , Tijuana
Sat 18 Oct , A. San Luis , 2 - 0 , Atlas
Sat 18 Oct , Tigres , 5 - 3 , Necaxa
Sat 18 Oct , Juarez , 2 - 2 , Pachuca
Sat 18 Oct , Santos Laguna , 2 - 0 , Club Leon
Sat 18 Oct , Toluca , 4 - 0 , Queretaro
Sun 19 Oct , Guadalajara , 2 - 0 , Mazatlan
Sun 19 Oct , Monterrey , 1 - 1 , Pumas UNAM
Sun 19 Oct , Cruz Azul , 2 - 1 , CF America
Wed 22 Oct , CF America , 2 - 1 , Puebla
Wed 22 Oct , Necaxa , 1 - 1 , Cruz Azul
Wed 22 Oct , Mazatlan , 2 - 2 , Santos Laguna
Wed 22 Oct , Monterrey , 4 - 2 , Juarez
Thu 23 Oct , Pachuca , 1 - 2 , Tigres
Thu 23 Oct , Queretaro , 1 - 0 , Guadalajara
Thu 23 Oct , Atlas , 2 - 0 , Club Leon
Thu 23 Oct , Tijuana , 0 - 0 , Toluca
Thu 23 Oct , Pumas UNAM , 0 - 1 , A. San Luis
Sat 25 Oct , Juarez , 4 - 4 , Puebla
Sat 25 Oct , Mazatlan , 2 - 2 , CF America
Sat 25 Oct , Tigres , 2 - 0 , Tijuana
Sun 26 Oct , Club Leon , 1 - 1 , Pumas UNAM
Sun 26 Oct , Guadalajara , 4 - 1 , Atlas
Sun 26 Oct , Cruz Azul , 2 - 0 , Monterrey
Sun 26 Oct , Santos Laguna , 3 - 1 , Queretaro
Mon 27 Oct , A. San Luis , 3 - 4 , Necaxa
Mon 27 Oct , Toluca , 2 - 2 , Pachuca
Sat 1 Nov , Necaxa , 4 - 1 , Santos Laguna
Sat 1 Nov , A. San Luis , 1 - 2 , Juarez
Sat 1 Nov , Puebla , 0 - 3 , Cruz Azul
Sat 1 Nov , Atlas , 0 - 0 , Toluca
Sun 2 Nov , Monterrey , 1 - 1 , Tigres
Sun 2 Nov , CF America , 2 - 0 , Club Leon
Sun 2 Nov , Pumas UNAM , 4 - 1 , Tijuana
Sun 2 Nov , Queretaro , 1 - 0 , Mazatlan
Mon 3 Nov , Pachuca , 0 - 1 , Guadalajara
Sat 8 Nov , Juarez , 1 - 2 , Queretaro
Sat 8 Nov , Mazatlan , 1 - 1 , Necaxa
Sat 8 Nov , Tijuana , 2 - 0 , Atlas
Sat 8 Nov , Guadalajara , 4 - 2 , Monterrey
Sat 8 Nov , Tigres , 3 - 1 , A. San Luis
Sun 9 Nov , Club Leon , 1 - 2 , Puebla
Sun 9 Nov , Toluca , 2 - 0 , CF America
Sun 9 Nov , Cruz Azul , 2 - 3 , Pumas UNAM
Sun 9 Nov , Santos Laguna , 1 - 0 , Pachu
