Sun 19 Oct , Las Palmas , 3 - 1 , Eibar
Mon 20 Oct , Cadiz , 1 - 3 , Burgos
Fri 24 Oct , Huesca , 1 - 1 , Las Palmas
Sat 25 Oct , Leonesa , 0 - 1 , Ceuta
Sat 25 Oct , Albacete , 1 - 3 , Cordoba
Sat 25 Oct , Eibar , 0 - 0 , Leganes
Sat 25 Oct , Burgos , 1 - 0 , Real Sociedad B
Sat 25 Oct , Granada , 0 - 0 , Cadiz
Sat 25 Oct , Mirandes , 1 - 3 , Racing
Sun 26 Oct , Malaga , 4 - 1 , FC Andorra
Sun 26 Oct , Almeria , 1 - 0 , Castellon
Sun 26 Oct , Sporting Gijon , 1 - 0 , Real Zaragoza
Sun 26 Oct , Deportivo , 1 - 1 , Valladolid
Fri 31 Oct , Racing , 1 - 0 , Real Sociedad B
Sat 1 Nov , Leonesa , 3 - 2 , Mirandes
Sat 1 Nov , Albacete , 2 - 1 , Huesca
Sat 1 Nov , Leganes , 1 - 2 , Burgos
Sat 1 Nov , Almeria , 3 - 1 , Eibar
Sun 2 Nov , FC Andorra , 0 - 0 , Cadiz
Sun 2 Nov , Cordoba , 2 - 0 , Ceuta
Sun 2 Nov , Sporting Gijon , 0 - 0 , Las Palmas
Sun 2 Nov , Castellon , 2 - 1 , Malaga
Sun 2 Nov , Real Zaragoza , 0 - 2 , Deportivo
Mon 3 Nov , Valladolid , 2 - 1 , Granada
Wed 5 Nov , Real Sociedad B , 2 - 0 , Huesca
Fri 7 Nov , Mirandes , 2 - 1 , Sporting Gijon
Sat 8 Nov , Real Sociedad B , 2 - 1 , Leganes
Sat 8 Nov , Eibar , 3 - 2 , Albacete
Sat 8 Nov , Huesca , 2 - 2 , FC Andorra
Sat 8 Nov , Deportivo , 3 - 0 , Leonesa
Sat 8 Nov , Malaga , 2 - 2 , Cordoba
Sun 9 Nov , Las Palmas , 3 - 1 , Racing
Sun 9 Nov , Cadiz , 0 - 0 , AlmeriaSun 9 NovGranada 3 1 Real Zaragoza
Mon 10 Nov , Burgos , 0 - 0 , Valladolid
Fri 14 Nov , Valladolid , 0 - 1 , Castellon
Sat 15 Nov , Albacete , 1 - 0 , Las Palmas
Sat 15 Nov , Castellon , 5 - 4 , FC Andorra
Sat 15 Nov , Racing , 2 - 2 , Real Sociedad B
Sun 16 Nov , Ceuta , 1 - 2 , Granada
Sun 16 Nov , Almeria , 3 - 0 , Leganes
Sun 16 Nov , Sporting Gijon , 1 - 1 , Cadiz
Sun 16 Nov , Cordoba , 1 - 3 , Eibar
Sun 16 Nov , Mirandes , 0 - 2 , Deportivo
Sun 16 Nov , Real Zaragoza , 1 - 0 , Burgos
Mon 17 Nov , Leonesa , 1 - 0 , Huesca
