Fri 1 Aug , Levadia , 2 - 0 , Kuressaare
Sat 2 Aug , Narva Trans , 1 - 1 , Flora
Sun 3 Aug , Paide , 2 - 0 , Harju JK
Sun 3 Aug , Tammeka , 1 - 3 , Nomme Kalju
Tue 5 Aug , Tallinna Kalev , 0 - 2 , Vaprus
Sat 9 Aug , Kuressaare , 1 - 3 , Harju JK
Sat 9 Aug , Narva Trans , 4 - 1 , Tammeka
Sat 9 Aug , Paide , 2 - 2 , Tallinna Kalev
Sun 10 Aug , Nomme Kalju , 1 - 2 , Vaprus
Fri 15 Aug , Vaprus , 8 - 1 , Tammeka
Sat 16 Aug , Paide , 5 - 1 , Kuressaare
Sat 16 Aug , Flora , 3 - 1 , Harju JK
Sun 17 Aug , Nomme Kalju , 1 - 2 , Narva Trans
Sun 17 Aug , Tallinna Kalev , 1 - 6 , Levadia
Fri 22 Aug , Levadia , 1 - 3 , Vaprus
Sat 23 Aug , Tammeka , 0 - 1 , Paide
Sat 23 Aug , Narva Trans , 2 - 0 , Tallinna Kalev
Sun 24 Aug , Kuressaare , 1 - 2 , Flora
Fri 29 Aug , Levadia , 3 - 1 , Narva Trans
Sat 30 Aug , Tallinna Kalev , 0 - 4 , Flora
Sat 30 Aug , Vaprus , 1 - 0 , Paide
Sun 31 Aug , Nomme Kalju , 2 - 0 , Kuressaare
Sun 31 Aug , Tammeka , 3 - 0 , Harju JK
Sat 13 Sep , Flora , 3 - 0 , Vaprus
Sat 13 Sep , Tammeka , 2 - 2 , Levadia
Sun 14 Sep , Kuressaare , 2 - 1 , Tallinna Kalev
Sun 14 Sep , Paide , 1 - 1 , Nomme Kalju
Sun 14 Sep , Narva Trans , 1 - 3 , Harju JK
Tue 16 Sep , Tammeka , 1 - 4 , Vaprus
Wed 17 Sep , Narva Trans , 0 - 0 , Nomme Kalju
Wed 17 Sep , Harju JK , 2 - 1 , Kuressaare
Wed 17 Sep , Levadia , 1 - 3 , Flora
Wed 17 Sep , Tallinna Kalev , 0 - 3 , Paide
Sat 20 Sep , Harju JK , 3 - 0 , Paide
Sat 20 Sep , Kuressaare , 0 - 0 , Narva Trans
Sat 20 Sep , Flora , 2 - 1 , Tammeka
Sun 21 Sep , Nomme Kalju , 2 - 1 , Levadia
Sun 21 Sep , Vaprus , 1 - 0 , Tallinna Kalev
Wed 24 Sep , Harju JK , 2 - 3 , Nomme Kalju
Wed 24 Sep , Flora , 2 - 3 , Levadia
Fri 26 Sep , Tammeka , 0 - 1 , Kuressaare
Sat 27 Sep , Harju JK , 1 - 2 , Vaprus
Sat 27 Sep , Narva Trans , 2 - 3 , Paide
Sun 28 Sep , Nomme Kalju , 3 - 1 , Flora
