Sun 20 Apr , Matsumoto Y. , 0 - 1 , Tochigi City
Sun 20 Apr , Tochigi SC , 0 - 1 , Z. Kanazawa
Sun 20 Apr , FC Ryukyu , 1 - 1 , T. Miyazaki
Wed 23 Apr , Fukushima Utd , 1 - 1 , AC Numazu
Sat 26 Apr , G. Kitakyushu , 1 - 2 , Matsumoto Y.
Sun 27 Apr , V. Hachinohe , 2 - 0 , Z. Kanazawa
Sat 3 May , AC Numazu , 0 - 1 , V. Hachinohe
Sat 3 May , G. Kitakyushu , 0 - 0 , Tochigi SC
Sat 3 May , Gainare Tottori , 2 - 0 , FC Ryukyu
Sat 3 May , Kagoshima Utd , 1 - 2 , Nara Club
Sat 3 May , Kamatamare S. , 1 - 2 , Fukushima Utd
Sat 3 May , Kusatsu , 1 - 1 , Gifu
Sat 3 May , T. Miyazaki , 3 - 2 , Kochi United
Sat 3 May , Tochigi City , 2 - 1 , Osaka
Sat 3 May , Matsumoto Y. , 2 - 1 , Z. Kanazawa
Sat 3 May , Nagano Parceiro , 1 - 1 , SC Sagamihara
Tue 6 May , Fukushima Utd , 2 - 4 , Kusatsu
Tue 6 May , Kochi United , 0 - 2 , Kamatamare S.
Tue 6 May , Nara Club , 0 - 1 , T. Miyazaki
Tue 6 May , SC Sagamihara , 1 - 0 , Gainare Tottori
Tue 6 May , Tochigi SC , 1 - 0 , Nagano Parceiro
Tue 6 May , V. Hachinohe , 0 - 0 , Tochigi City
Tue 6 May , Z. Kanazawa , 0 - 1 , G. Kitakyushu
Tue 6 May , FC Ryukyu , 1 - 2 , Kagoshima Utd
Tue 6 May , Gifu , 3 - 2 , AC Numazu
Wed 7 May , Osaka , 1 - 0 , Matsumoto Y.
Wed 14 May , Matsumoto Y. , 2 - 2 , Nagano Parceiro
Sat 17 May , Kagoshima Utd , 5 - 0 , Fukushima Utd
Sat 17 May , Kusatsu , 2 - 2 , Kochi United
Sat 17 May , Nara Club , 0 - 0 , Tochigi SC
Sat 17 May , T. Miyazaki , 1 - 1 , Z. Kanazawa
Sat 17 May , Tochigi City , 1 - 0 , Gifu
Sat 17 May , FC Ryukyu , 0 - 1 , G. Kitakyushu
Sun 18 May , Matsumoto Y. , 1 - 0 , Gainare Tottori
Sun 18 May , AC Numazu , 0 - 0 , Nagano Parceiro
Sun 18 May , Kamatamare S. , 2 - 1 , V. Hachinohe
Sun 18 May , SC Sagamihara , 1 - 2 , Osaka
Sat 31 May , G. Kitakyushu , 1 - 1 , T. Miyazaki
Sat 31 May , Gainare Tottori , 1 - 0 , Tochigi City
Sat 31 May , Kusatsu , 0 - 0 , AC Numazu
Sat 31 May , Nagano Parceiro , 1 - 0 , Nara Club
Sat 31 May , Osaka , 3 - 0 , Kagoshima Utd
Sat 31 May , Tochigi SC , 1 - 0 , Kamatamare S.
Sun 1 Jun , Fukushima Utd , 3 - 3 , SC Sagamihara
Sun 1 Jun , V. Hachinohe , 2 - 0 , Matsumoto Y.
Sun 1 Jun , Z. Kanazawa , 1 - 2 , FC Ryukyu
Sun 1 Jun , Gifu , 1 - 1 , Kochi United
Sat 7 Jun , Kamatamare S. , 0 - 3 , Osaka
Sat 7 Jun , Matsumoto Y. , 1 - 2 , Fukushima Utd
Sat 7 Jun , Kagoshima Utd , 3 - 2 , Gifu
Sat 7 Jun , T. Miyazaki , 4 - 2 , SC Sagamihara
Sat 7 Jun , Tochigi SC , 0 - 1 , Kusatsu
Sun 8 Jun , V. Hachinohe , 1 - 0 , FC Ryukyu
Sun 8 Jun , AC Numazu , 3 - 1 , Z. Kanazawa
Sun 8 Jun , Gainare Tottori , 2 - 0 , Nagano Parceiro
Sun 8 Jun , Kochi United , 3 - 2 , Nara Club
Sun 8 Jun , Tochigi City , 1 - 0 , G. Kitakyushu
Sat 14 Jun , G. Kitakyushu , 1 - 0 , AC Numazu
Sat 14 Jun , Nagano Parceiro , 1 - 2 , Gifu
Sat 14 Jun , Nara Club , 1 - 0 , Gainare Tottori
Sat 14 Jun , SC Sagamihara , 0 - 0 , Kochi United
Sat 14 Jun , FC Ryukyu , 0 - 3 , Matsumoto Y.
Sat 14 Jun , Kagoshima Utd , 1 - 1 , V. Hachinohe
Sat 14 Jun , Z. Kanazawa , 1 - 2 , Tochigi City
Sat 14 Jun , T. Miyazaki , 0 - 0 , Osaka
Sun 15 Jun , Fukushima Utd , 2 - 2 , Tochigi SC
Sun 15 Jun , Kusatsu , 3 - 3 , Kamatamare S.
Sat 21 Jun , Kamatamare S. , 0 - 1 , Nagano Parceiro
Sat 21 Jun , Kochi United , 3 - 2 , G. Kitakyushu
Sat 21 Jun , AC Numazu , 0 - 2 , FC Ryukyu
Sat 21 Jun , Matsumoto Y. , 1 - 1 , Kagoshima Utd
Sat 21 Jun , Nara Club , 2 - 1 , Tochigi City
Sat 21 Jun , Z. Kanazawa , 0 - 0 , SC Sagamihara
Sat 21 Jun , Gifu , 2 - 3 , T. Miyazaki
Sat 21 Jun , Gainare Tottori , 2 - 1 , Tochigi SC
Sun 22 Jun , V. Hachinohe , 2 - 0 , Kusatsu
Sun 22 Jun , Osaka , 7 - 1 , Fukushima Utd
Fri 27 Jun , Fukushima Utd , 0 - 1 , V. Hachinohe
Sat 28 Jun , FC Ryukyu , 1 - 0 , Gifu
Sat 28 Jun , G. Kitakyushu , 1 - 2 , Gainare Tottori
Sat 28 Jun , SC Sagamihara , 3 - 1 , AC Numazu
Sat 28 Jun , Tochigi City , 2 - 1 , Kagoshima Utd
Sat 28 Jun , Kusatsu , 0 - 1 , Z. Kanazawa
Sat 28 Jun , T. Miyazaki , 1 - 0 , Kamatamare S.
Sat 28 Jun , Tochigi SC , 3 - 1 , Matsumoto Y.
Sun 29 Jun , Kochi United , 1 - 0 , Nagano Parceiro
Mon 30 Jun , Osaka , 1 - 1 , Nara Club
Sat 5 Jul , AC Numazu , 4 - 0 , Kochi United
Sat 5 Jul , Matsumoto Y. , 1 - 3 , Kusatsu
Sat 5 Jul , Nara Club , 4 - 0 , G. Kitakyushu
Sat 5 Jul , Tochigi City , 3 - 2 , FC Ryukyu
Sat 5 Jul , Z. Kanazawa , 2 - 1 , Fukushima Utd
Sat 5 Jul , V. Hachinohe , 2 - 1 , T. Miyazaki
Sat 5 Jul , Gainare Tottori , 1 - 0 , Kamatamare S.
Sat 5 Jul , Kagoshima Utd , 1 - 0 , Tochigi SC
Sun 6 Jul , Nagano Parceiro , 0 - 0 , Osaka
Sun 6 Jul , Gifu , 1 - 1 , SC Sagamihara
Sat 12 Jul , AC Numazu , 0 - 0 , Kagoshima Utd
