Sun 1 Jun , Cruzeiro , 2 - 1 , Palmeiras
Sun 1 Jun , Internacional , 0 - 2 , Fluminense
Wed 4 Jun , Botafogo , 3 - 2 , Ceara
Thu 12 Jun , Bragantino , 0 - 3 , Bahia
Thu 12 Jun , Vitoria , 0 - 0 , Cruzeiro
Thu 12 Jun , Fortaleza , 2 - 3 , Santos
Thu 12 Jun , Gremio , 1 - 1 , Corinthians
Fri 13 Jun , Atletico MG , 2 - 0 , Internacional
Fri 13 Jun , Sao Paulo , 1 - 3 , Vasco da Gama
Sat 12 Jul , Flamengo , 2 - 0 , Sao Paulo
Sat 12 Jul , Internacional , 1 - 0 , Vitoria
Sat 12 Jul , Vasco da Gama , 0 - 2 , Botafogo
Sun 13 Jul , Bahia , 2 - 1 , Atletico MG
Sun 13 Jul , Corinthians , 1 - 2 , Bragantino
Sun 13 Jul , Cruzeiro , 4 - 1 , Gremio
Sun 13 Jul , Fortaleza , 0 - 1 , Ceara
Mon 14 Jul , Juventude , 2 - 0 , Sport Recife
Wed 16 Jul , Palmeiras , 1 - 1 , Mirassol
Wed 16 Jul , Ceara , 0 - 1 , Corinthians
Wed 16 Jul , Santos , 1 - 0 , Flamengo
Thu 17 Jul , Botafogo , 0 - 0 , Vitoria
Thu 17 Jul , Bragantino , 2 - 2 , Sao Paulo
Thu 17 Jul , Fluminense , 0 - 2 , Cruzeiro
Sat 19 Jul , Fortaleza , 1 - 1 , Bahia
Sat 19 Jul , Vasco da Gama , 1 - 1 , Gremio
Sat 19 Jul , Mirassol , 3 - 0 , Santos
Sun 20 Jul , Sao Paulo , 2 - 0 , Corinthians
Sun 20 Jul , Internacional , 1 - 0 , Ceara
Sun 20 Jul , Cruzeiro , 4 - 0 , Juventude
Sun 20 Jul , Vitoria , 1 - 0 , Bragantino
Sun 20 Jul , Palmeiras , 3 - 2 , Atletico MG
Sun 20 Jul , Sport Recife , 0 - 1 , Botafogo
Sun 20 Jul , Flamengo , 1 - 0 , Fluminense
Wed 23 Jul , Ceara , 0 - 2 , Mirassol
Wed 23 Jul , Fluminense , 1 - 2 , Palmeiras
Wed 23 Jul , Corinthians , 0 - 0 , Cruzeiro
Thu 24 Jul , Bragantino , 1 - 2 , Flamengo
Thu 24 Jul , Santos , 1 - 2 , Internacional
Thu 24 Jul , Vitoria , 2 - 2 , Sport Recife
Thu 24 Jul , Juventude , 0 - 1 , Sao Paulo
Sat 26 Jul , Botafogo , 1 - 1 , Corinthians
Sat 26 Jul , Fortaleza , 3 - 1 , Bragantino
Sat 26 Jul , Mirassol , 1 - 1 , Vitoria
Sat 26 Jul , Sport Recife , 2 - 2 , Santos
Sun 27 Jul , Palmeiras , 1 - 0 , Gremio
Sun 27 Jul , Cruzeiro , 1 - 2 , Ceara
Sun 27 Jul , Sao Paulo , 3 - 1 , Fluminense
Sun 27 Jul , Bahia , 3 - 0 , Juventude
Sun 27 Jul , Internacional , 1 - 1 , Vasco da Gama
Sun 27 Jul , Flamengo , 1 - 0 , Atletico MG
Tue 29 Jul , Gremio , 2 - 1 , Fortaleza
Sat 2 Aug , Sport Recife , 0 - 0 , Bahia
Sat 2 Aug , Mirassol , 3 - 2 , Vasco da Gama
Sun 3 Aug , Fluminense , 1 - 0 , Gremio
Sun 3 Aug , Botafogo , 0 - 2 , Cruzeiro
Sun 3 Aug , Corinthians , 1 - 1 , Fortaleza
Sun 3 Aug , Atletico MG , 2 - 1 , Bragantino
Sun 3 Aug , Ceara , 1 - 1 , Flamengo
Sun 3 Aug , Vitoria , 2 - 2 , Palmeiras
Sun 3 Aug , Internacional , 1 - 2 , Sao Paulo
Mon 4 Aug , Santos , 3 - 1 , Juventude
Sat 9 Aug , Bragantino , 1 - 3 , Internacional
Sat 9 Aug , Flamengo , 2 - 1 , Mirassol
Sat 9 Aug , Sao Paulo , 2 - 0 , Vitoria
Sat 9 Aug , Fortaleza , 0 - 5 , Botafogo
Sun 10 Aug , Bahia , 3 - 3 , Fluminense
Sun 10 Aug , Palmeiras , 2 - 1 , Ceara
Sun 10 Aug , Vasco da Gama , 1 - 1 , Atletico MG
Sun 10 Aug , Cruzeiro , 1 - 2 , Santos
Sun 10 Aug , Gremio , 0 - 1 , Sport Recife
Mon 11 Aug , Juventude , 2 - 1 , Corinthians
Sat 16 Aug , Ceara , 1 - 0 , Bragantino
Sat 16 Aug , Fluminense , 2 - 1 , Fortaleza
Sat 16 Aug , Sport Recife , 2 - 2 , Sao Paulo
Sat 16 Aug , Vitoria , 2 - 2 , Juventude
Sun 17 Aug , Corinthians , 1 - 2 , Bahia
Sun 17 Aug , Atletico MG , 1 - 3 , Gremio
Sun 17 Aug , Santos , 0 - 6 , Vasco da Gama
Sun 17 Aug , Internacional , 1 - 3 , Flamengo
Sun 17 Aug , Botafogo , 0 - 1 , Palmeiras
Mon 18 Aug , Mirassol , 1 - 1 , Cruzeiro
Wed 20 Aug , Juventude , 2 - 0 , Vasco da Gama
Sat 23 Aug , Bragantino , 4 - 2 , Fluminense
Sat 23 Aug , Cruzeiro , 2 - 1 , Internacional
Sun 24 Aug , Gremio , 0 - 0 , Ceara
Sun 24 Aug , Bahia , 2 - 0 , Santos
Sun 24 Aug , Vasco da Gama , 2 - 3 , Corinthians
Sun 24 Aug , Fortaleza , 0 - 1 , Mirassol
Sun 24 Aug , Juventude , 1 - 3 , Botafogo
Sun 24 Aug , Sao Paulo , 2 - 0 , Atletico MG
Mon 25 Aug , Palmeiras , 3 - 0 , Sport Recife
Tue 26 Aug , Flamengo , 8 - 0 , Vitoria
Sat 30 Aug , Ceara , 0 - 1 , Juventude
Sat 30 Aug , Botafogo , 4 - 1 , Bragantino
Sun 31 Aug , Cruzeiro , 1 - 0 , Sao Paulo
Sun 31 Aug , Flamengo , 1 - 1 , Gremio
Sun 31 Aug , Santos , 0 - 0 , Fluminense
Sun 31 Aug , Corinthians , 1 - 1 , Palmeiras
Sun 31 Aug , Mirassol , 5 - 1 , Bahia
Sun 31 Aug , Vitoria , 1 - 0 , Atletico MG
Sun 31 Aug , Internacional , 2 - 1 , Fortaleza
Sun 31 Aug , Sport Recife , 2 - 3 , Vasco da Gama
Sat 13 Sep , Fortaleza , 2 - 0 , Vitoria
Sat 13 Sep , Gremio , 0 - 1 , Mirassol
Sat 13 Sep , Palmeiras , 4 - 1 , Internacional
Sun 14 Sep , Fluminense , 0 - 1 , Corinthians
Sun 14 Sep , Bragantino , 1 - 1 , Sport Recife
Sun 14 Sep , Atletico MG , 1 - 1 , Santos
Sun 14 Sep , Juventude , 0 - 2 , Flamengo
Sun 14 Sep , Sao Paulo , 1 - 0 , Botafogo
Sun 14 Sep , Vasco da Gama , 2 - 2 , Ceara
Mon 15 Sep , Bahia , 1 - 2 , Cruzeiro
Wed 17 Sep , Botafogo , 3 - 3 , Mirassol
Sat 20 Sep , Vitoria , 0 - 1 , Fluminense
Sat 20 Sep , Botafogo , 1 - 0 , Atletico MG
Sat 20 Sep , Ceara , 1 - 1 , Bahia
Sun 21 Sep , Palmeiras , 4 - 1 , Fortaleza
Sun 21 Sep , Mirassol , 2 - 0 , Juventude
Sun 21 Sep , Flamengo , 1 - 1 , Vasco da Gama
Sun 21 Sep , Internacional , 2 - 3 , Gremio
Sun 21 Sep , Sport Recife , 1 - 0 , Corinthians
Sun 21 Sep , Cruzeiro , 2 - 1 , Bragantino
Sun 21 Sep , Santos , 1 - 0 , Sao Paulo
Wed 24 Sep , Gremio , 1 - 1 , Botafogo
Wed 24 Sep , Vasco da Gama , 3 - 1 , Bahia
Sat 27 Sep , Fortaleza , 1 - 0 , Sport Recife
Sat 27 Sep , Juventude , 1 - 1 , Internacional
Sat 27 Sep , Vasco da Gama , 2 - 0 , Cruzeiro
Sun 28 Sep , Atletico MG , 1 - 0 , Mirassol
Sun 28 Sep , Gremio , 3 - 1 , Vitoria
Sun 28 Sep , Bahia , 1 - 0 , Palmeiras
Sun 28 Sep , Fluminense , 2 - 0 , Botafogo
Sun 28 Sep , Bragantino , 2 - 2 , Santos
Sun 28 Sep , Corinthians , 1 - 2 , Flamengo
Mon 29 Sep , Sao Paulo , 0 - 1 , Ceara
Wed 1 Oct , Atletico MG , 0 - 0 , Juventude
Wed 1 Oct , Mirassol , 1 - 1 , Bragantino
Wed 1 Oct , Palmeiras , 3 - 0 , Vasco da Gama
Wed 1 Oct , Sport Recife , 2 - 2 , Fluminense
Wed 1 Oct , Internacional , 1 - 1 , Corinthians
Thu 2 Oct , Botafogo , 2 - 1 , Bahia
Thu 2 Oct , Santos , 1 - 1 , Gremio
Thu 2 Oct , Vitoria , 1 - 0 , Ceara
Thu 2 Oct , Fortaleza , 0 - 2 , Sao Paulo
Thu 2 Oct , Flamengo , 0 - 0 , Cruzeiro
Sat 4 Oct , Bragantino , 1 - 0 , Gremio
Sat 4 Oct , Fluminense , 3 - 0 , Atletico MG
Sat 4 Oct , Internacional , 2 - 0 , Botafogo
Sun 5 Oct , Corinthians , 3 - 0 , Mirassol
Sun 5 Oct , Sao Paulo , 2 - 3 , Palmeiras
Sun 5 Oct , Vasco da Gama , 4 - 3 , Vitoria
Sun 5 Oct , Bahia , 1 - 0 , Flamengo
Sun 5 Oct , Juventude , 1 - 2 , Fortaleza
Sun 5 Oct , Ceara , 3 - 0 , Santos
Sun 5 Oct , Cruzeiro , 1 - 1 , Sport Recife
Wed 8 Oct , Atletico MG , 3 - 1 , Sport Recife
Thu 9 Oct , Mirassol , 2 - 1 , Fluminense
Sat 11 Oct , Palmeiras , 4 - 1 , Juventude
Wed 15 Oct , Palmeiras , 5 - 1 , Bragantino
Wed 15 Oct , Botafogo , 0 - 3 , Flamengo
Wed 15 Oct , Mirassol , 3 - 1 , Internacional
Wed 15 Oct , Sport Recife , 1 - 1 , Ceara
Thu 16 Oct , Atletico MG , 1 - 1 , Cruzeiro
Thu 16 Oct , Fortaleza , 0 - 2 , Vasco da Gama
Thu 16 Oct , Santos , 3 - 1 , Corinthians
Thu 16 Oct , Gremio , 2 - 0 , Sao Paulo
Fri 17 Oct , Fluminense , 1 - 0 , Juventude
Fri 17 Oct , Vitoria , 2 - 1 , Bahia
Sat 18 Oct , Corinthians , 1 - 0 , Atletico MG
Sun 19 Oct , Cruzeiro , 1 - 0 , Fortaleza
Sun 19 Oct , Flamengo , 3 - 2 , Palmeiras
Sun 19 Oct , Ceara , 0 - 2 , Botafogo
Sun 19 Oct , Internacional , 2 - 0 , Sport Recife
Sun 19 Oct , Mirassol , 3 - 0 , Sao Paulo
Sun 19 Oct , Bahia , 4 - 0 , Gremio
Mon 20 Oct , Juventude , 1 - 0 , Bragantino
Mon 20 Oct , Vasco da Gama , 2 - 0 , Fluminense
Tue 21 Oct , Santos , 0 - 1 , Vitoria
Wed 22 Oct , Bahia , 1 - 0 , Internacional
Sat 25 Oct , Atletico MG , 1 - 0 , Ceara
Sat 25 Oct , Vitoria , 0 - 1 , Corinthians
Sat 25 Oct , Fluminense , 1 - 0 , Internacional
Sat 25 Oct , Sport Recife , 1 - 2 , Mirassol
Sat 25 Oct , Fortaleza , 1 - 0 , Flamengo
Sun 26 Oct , Sao Paulo , 2 - 0 , Bahia
Sun 26 Oct , Botafogo , 2 - 2 , Santos
Sun 26 Oct , Gremio , 3 - 1 , Juventude
Sun 26 Oct , Bragantino , 0 - 3 , Vasco da Gama
Sun 26 Oct , Palmeiras , 0 - 0 , Cruzeiro
Wed 29 Oct , Fluminense , 1 - 0 , Ceara
Sat 1 Nov , Cruzeiro , 3 - 1 , Vitoria
Sat 1 Nov , Santos , 1 - 1 , Fortaleza
Sat 1 Nov , Mirassol , 0 - 0 , Botafogo
Sun 2 Nov , Flamengo , 3 - 0 , Sport Recife
Sun 2 Nov , Bahia , 2 - 1 , Bragantino
Sun 2 Nov , Ceara , 2 - 0 , Fluminense
Sun 2 Nov , Corinthians , 2 - 0 , Gremio
Sun 2 Nov , Internacional , 0 - 0 , Atletico MG
Sun 2 Nov , Juventude , 0 - 2 , Palmeiras
Sun 2 Nov , Vasco da Gama , 0 - 2 , Sao Paulo
Wed 5 Nov , Bragantino , 2 - 1 , Corinthians
Wed 5 Nov , Sport Recife , 0 - 2 , Juventude
Wed 5 Nov , Vitoria , 1 - 0 , Internacional
Wed 5 Nov , Botafogo , 3 - 0 , Vasco da Gama
Wed 5 Nov , Atletico MG , 3 - 0 , Bahia
Wed 5 Nov , Gremio , 0 - 1 , Cruzeiro
Thu 6 Nov , Sao Paulo , 2 - 2 , Flamengo
Thu 6 Nov , Fluminense , 1 - 0 , Mirassol
Thu 6 Nov , Ceara , 1 - 1 , Fortaleza
Fri 7 Nov , Palmeiras , 2 - 0 , Santos
Sat 8 Nov , Sport Recife , 2 - 4 , Atletico MG
Sat 8 Nov , Vasco da Gama , 1 - 3 , Juventude
Sat 8 Nov , Internacional , 2 - 2 , Bahia
Sun 9 Nov , Sao Paulo , 0 - 1 , Bragantino
Sun 9 Nov , Corinthians , 0 - 1 , Ceara
Sun 9 Nov , Cruzeiro , 0 - 0 , Fluminense
Sun 9 Nov , Vitoria , 0 - 0 , Botafogo
Sun 9 Nov , Flamengo , 3 - 2 , Santos
Sun 9 Nov , Fortaleza , 2 - 2 , Gremio
Sun 9 Nov , Mirassol , 2 - 1 , Palmeiras
Wed 12 Nov , Atletico MG , 3 - 3 , Fortaleza
Sat 15 Nov , Sport Recife , 1 - 5 , Flamengo
Sun 16 Nov , Santos , 1 - 0 , Palmeiras
Sun 16 Nov , Bragantino , 2 - 0 , Atletico MG
