Mon 11 Aug , HJK Helsinki , 5 - 1 , Ilves
Fri 15 Aug , Gnistan , 0 - 0 , VPS
Sat 16 Aug , Oulu , 0 - 4 , Ilves
Sat 16 Aug , Mariehamn , 3 - 0 , KTP
Sun 17 Aug , Haka , 1 - 2 , HJK Helsinki
Sun 17 Aug , KuPS , 2 - 1 , Inter Turku
Mon 18 Aug , Jaro , 0 - 4 , SJK
Fri 22 Aug , VPS , 3 - 2 , KTP
Sat 23 Aug , Ilves , 1 - 0 , Inter Turku
Sun 24 Aug , HJK Helsinki , 8 - 2 , Mariehamn
Sun 24 Aug , Jaro , 1 - 3 , KuPS
Mon 25 Aug , Haka , 2 - 3 , SJK
Mon 25 Aug , Gnistan , 3 - 2 , Oulu
Sun 31 Aug , Gnistan , 1 - 2 , Jaro
Sun 31 Aug , Ilves , 2 - 1 , Mariehamn
Sun 31 Aug , Inter Turku , 2 - 1 , VPS
Sun 31 Aug , KTP , 1 - 4 , HJK Helsinki
Sun 31 Aug , Oulu , 3 - 2 , Haka
Sun 31 Aug , SJK , 1 - 1 , KuPS
Sat 13 Sep , Mariehamn , 1 - 1 , Haka
Sat 13 Sep , Gnistan , 0 - 2 , Inter Turku
Sat 13 Sep , VPS , 2 - 1 , KTP
Sat 13 Sep , SJK , 3 - 3 , HJK Helsinki
Sun 14 Sep , Jaro , 1 - 2 , Oulu
Sun 14 Sep , KuPS , 2 - 4 , Ilves
Fri 19 Sep , Haka , 0 - 1 , Oulu
Fri 19 Sep , KTP , 1 - 2 , Jaro
Sun 21 Sep , Mariehamn , 2 - 1 , VPS
Tue 23 Sep , Ilves , 3 - 2 , Gnistan
Tue 23 Sep , KuPS , 3 - 2 , SJK
Tue 23 Sep , Inter Turku , 0 - 0 , HJK Helsinki
Fri 26 Sep , VPS , 1 - 0 , Haka
Sat 27 Sep , Gnistan , 0 - 4 , KuPS
Sat 27 Sep , Oulu , 0 - 2 , KTP
Sat 27 Sep , SJK , 2 - 1 , Inter Turku
Sun 28 Sep , Jaro , 2 - 3 , Mariehamn
Mon 29 Sep , HJK Helsinki , 2 - 2 , Ilves
Fri 3 Oct , Jaro , 2 - 1 , Haka
Fri 3 Oct , HJK Helsinki , 2 - 3 , Gnistan
Sat 4 Oct , Oulu , 2 - 0 , VPS
Sat 4 Oct , KTP , 1 - 1 , Mariehamn
Sat 4 Oct , SJK , 2 - 1 , Ilves
Sun 5 Oct , Inter Turku , 0 - 3 , KuPS
Thu 16 Oct , Ilves , 1 - 1 , KuPS
Sat 18 Oct , Haka , 1 - 2 , KTP
Sat 18 Oct , Mariehamn , 2 - 0 , Oulu
Sat 18 Oct , VPS , 1 - 3 , Jaro
Sun 19 Oct , Gnistan , 3 - 4 , SJK
Sun 19 Oct , Ilves , 1 - 2 , Inter Turku
Sun 19 Oct , KuPS , 3 - 1 , HJK Helsinki
Wed 22 Oct , Inter Turku , 2 - 1 , Gnistan
Wed 22 Oct , HJK Helsinki , 3 - 4 , SJK
Sat 25 Oct , Gnistan , 1 - 3 , Ilves
Sun 26 Oct , HJK Helsinki , 1 - 1 , Inter Turku
Mon 27 Oct , SJK , 0 - 1 , KuPS
Thu 30 Oct , Inter Turku , 2 - 2 , SJK
Thu 30 Oct , KuPS , 1 - 1 , Gnistan
Thu 30 Oct , Ilves , 3 - 1 , HJK Helsinki
Sun 2 Nov , KuPS , 3 - 2 , Inter Turku
Mon 3 Nov , Ilves , 3 - 3 , SJK
Mon 3 Nov , Gnistan , 2 - 2 , HJK Helsinki
Sun 9 Nov , HJK Helsinki , 0 - 2 , KuPS
Sun 9 Nov , Inter Turku , 2 - 0 , Ilves
Sun 9 Nov , SJK , 3 - 0 , Gnist
