Sun 25 May , Orense , 2 - 1 , Aucas
Sun 25 May , Libertad , 0 - 1 , Macara
Sun 25 May , Tecnico U. , 1 - 2 , Delfin
Sun 25 May , El Nacional , 2 - 0 , Emelec
Sat 31 May , Macara , 2 - 2 , Manta
Sat 31 May , LDU Quito , 3 - 2 , Tecnico U.
Sat 31 May , Delfin , 1 - 1 , I. del Valle
Sun 1 Jun , Emelec , 1 - 0 , Orense
Sun 1 Jun , Mushuc Runa , 2 - 3 , El Nacional
Sun 1 Jun , D. Cuenca , 3 - 1 , U. Catolica
Sun 1 Jun , Aucas , 2 - 0 , Barcelona SC
Tue 3 Jun , Cuniburo , 1 - 0 , Libertad
Sat 14 Jun , I. del Valle , 1 - 1 , Libertad
Sat 14 Jun , Barcelona SC , 1 - 2 , Manta
Sun 15 Jun , Cuniburo , 1 - 2 , LDU Quito
Sun 15 Jun , Tecnico U. , 1 - 1 , Aucas
Sun 15 Jun , D. Cuenca , 4 - 1 , El Nacional
Sun 15 Jun , Delfin , 3 - 1 , Mushuc Runa
Tue 17 Jun , Orense , 1 - 0 , Macara
Thu 19 Jun , LDU Quito , 3 - 1 , Barcelona SC
Sat 21 Jun , Libertad , 4 - 1 , Tecnico U.
Sat 21 Jun , El Nacional , 0 - 3 , U. Catolica
Sat 21 Jun , Emelec , 2 - 2 , Delfin
Sun 22 Jun , Macara , 1 - 0 , Cuniburo
Sun 22 Jun , LDU Quito , 1 - 1 , I. del Valle
Sun 22 Jun , Aucas , 1 - 3 , D. Cuenca
Sun 22 Jun , Mushuc Runa , 0 - 5 , Barcelona SC
Tue 24 Jun , Manta , 0 - 0 , Orense
Thu 26 Jun , U. Catolica , 1 - 1 , Emelec
Sat 28 Jun , D. Cuenca , 1 - 0 , Mushuc Runa
Sat 28 Jun , Delfin , 2 - 0 , Manta
Sat 28 Jun , Barcelona SC , 3 - 3 , Libertad
Sun 29 Jun , Orense , 2 - 1 , LDU Quito
Sun 29 Jun , Tecnico U. , 0 - 0 , El Nacional
Sun 29 Jun , U. Catolica , 0 - 3 , I. del Valle
Sun 29 Jun , Macara , 1 - 1 , Emelec
Tue 1 Jul , Cuniburo , 0 - 1 , Aucas
Sat 5 Jul , Libertad , 2 - 1 , D. Cuenca
Sat 5 Jul , Mushuc Runa , 1 - 1 , U. Catolica
Sat 5 Jul , Emelec , 2 - 0 , Cuniburo
Sun 6 Jul , I. del Valle , 1 - 1 , Barcelona SC
Sun 6 Jul , Aucas , 1 - 4 , Macara
Sun 6 Jul , El Nacional , 1 - 0 , Manta
Sun 6 Jul , Delfin , 0 - 4 , LDU Quito
Tue 8 Jul , Tecnico U. , 1 - 2 , Orense
Sat 12 Jul , Macara , 1 - 2 , I. del Valle
Sat 12 Jul , Manta , 4 - 2 , U. Catolica
Sat 12 Jul , LDU Quito , 2 - 0 , Emelec
Sun 13 Jul , Barcelona SC , 1 - 1 , Tecnico U.
Sun 13 Jul , Cuniburo , 1 - 1 , Mushuc Runa
Sun 13 Jul , Orense , 0 - 1 , Libertad
Sun 13 Jul , D. Cuenca , 1 - 1 , Delfin
Tue 15 Jul , Aucas , 1 - 0 , El Nacional
Sat 19 Jul , I. del Valle , 2 - 1 , Aucas
Sat 19 Jul , U. Catolica , 3 - 0 , Cuniburo
Sat 19 Jul , Orense , 1 - 1 , El Nacional
Sun 20 Jul , Delfin , 0 - 1 , Barcelona SC
Sun 20 Jul , Tecnico U. , 1 - 0 , Macara
Sun 20 Jul , Emelec , 1 - 0 , Mushuc Runa
Sun 20 Jul , LDU Quito , 2 - 2 , D. Cuenca
Tue 22 Jul , Libertad , 1 - 0 , Manta
