Tue 28 Oct , USL Dunkerque , 3 - 0 , Red Star
Fri 31 Oct , Annecy , 1 - 1 , Boulogne
Fri 31 Oct , Guingamp , 2 - 0 , Laval
Fri 31 Oct , Le Mans , 1 - 0 , Nancy
Fri 31 Oct , Montpellier , 2 - 0 , Rodez Aveyron
Fri 31 Oct , SC Bastia , 1 - 0 , Clermont
Sat 1 Nov , Amiens , 2 - 3 , Grenoble
Sat 1 Nov , Reims , 1 - 2 , USL Dunkerque
Sat 1 Nov , Red Star , 2 - 1 , Saint-Etienne
Mon 3 Nov , Pau FC , 1 - 1 , Troyes
Fri 7 Nov , Clermont , 2 - 1 , Amiens
Fri 7 Nov , Grenoble , 2 - 1 , Rodez Aveyron
Fri 7 Nov , Montpellier , 1 - 0 , Annecy
Fri 7 Nov , Nancy , 0 - 2 , Laval
Fri 7 Nov , SC Bastia , 1 - 3 , Reims
Fri 7 Nov , USL Dunkerque , 1 - 1 , Boulogne
Sat 8 Nov , Guingamp , 2 - 2 , Pau FC
Sat 8 Nov , Le Mans , 0 - 0 , Red Star
Sat 8 Nov , Troyes , 2 - 3 , Saint-Etienne
