Sat 27 Sep , Leyton Orient , 2 - 3 , Wycombe
Sat 27 Sep , Barnsley , 0 - 2 , Stevenage
Sat 27 Sep , Bradford , 1 - 0 , Port Vale
Sat 27 Sep , Burton Albion , 0 - 4 , Blackpool
Sat 27 Sep , Exeter City , 0 - 1 , Plymouth
Sat 27 Sep , Luton Town , 1 - 0 , Huddersfield
Sat 27 Sep , Mansfield , 2 - 1 , Doncaster
Sat 27 Sep , Northampton , 2 - 0 , Rotherham
Sat 27 Sep , Peterborough , 0 - 3 , Bolton
Sat 27 Sep , Stockport , 1 - 1 , Lincoln City
Sat 27 Sep , Wigan Athletic , 0 - 2 , Reading
Tue 30 Sep , Blackpool , 2 - 2 , Cardiff City
Tue 30 Sep , Cardiff City , 0 - 1 , Luton Town
Thu 2 Oct , Rotherham , 2 - 2 , Burton Albion
Sat 4 Oct , Doncaster , 1 - 1 , Bradford
Sat 4 Oct , Wycombe , 2 - 2 , Burton Albion
Sat 4 Oct , Blackpool , 0 - 2 , Barnsley
Sat 4 Oct , Bolton , 2 - 1 , AFC Wimbledon
Sat 4 Oct , Cardiff City , 4 - 3 , Peterborough
Sat 4 Oct , Huddersfield , 1 - 2 , Leyton Orient
Sat 4 Oct , Lincoln City , 0 - 1 , Stockport
Sat 4 Oct , Plymouth , 1 - 1 , Exeter City
Sat 4 Oct , Port Vale , 0 - 0 , Wigan Athletic
Sat 4 Oct , Reading , 1 - 1 , Northampton
Sat 4 Oct , Stevenage , 2 - 0 , Mansfield
Sat 11 Oct , Northampton , 1 - 2 , Luton Town
Sat 11 Oct , AFC Wimbledon , 1 - 1 , Rotherham
Sat 11 Oct , Exeter City , 1 - 1 , Port Vale
Sat 11 Oct , Leyton Orient , 4 - 0 , Cardiff CitySat 11 OctBurton Albion 3 0 Bolton
Sat 11 Oct , Stockport , 1 - 0 , Reading
Sat 11 Oct , Wigan Athletic , 0 - 1 , Doncaster
Thu 16 Oct , Huddersfield , 1 - 2 , Blackpool
Sat 18 Oct , Burton Albion , 0 - 1 , Wycombe
Sat 18 Oct , Lincoln City , 1 - 0 , Bolton
Sat 18 Oct , Blackpool , 1 - 1 , Peterborough
Sat 18 Oct , Bradford , 2 - 2 , Stevenage
Sat 18 Oct , Cardiff City , 2 - 1 , Wycombe
Sat 18 Oct , Doncaster , 1 - 2 , Barnsley
Sat 18 Oct , Luton Town , 0 - 2 , Reading
Sat 18 Oct , Plymouth , 1 - 2 , Northampton
Sat 18 Oct , Rotherham , 1 - 0 , Mansfield
Sat 18 Oct , Stockport , 1 - 0 , AFC Wimbledon
Sat 18 Oct , Wigan Athletic , 1 - 0 , Leyton Orient
Tue 21 Oct , Reading , 1 - 0 , Exeter City
Thu 23 Oct , Exeter City , 2 - 0 , Port Vale
Sat 25 Oct , Bolton , 1 - 0 , Northampton
Sat 25 Oct , Mansfield , 1 - 1 , Plymouth
Sat 25 Oct , AFC Wimbledon , 0 - 1 , Cardiff City
Sat 25 Oct , Barnsley , 0 - 1 , Wigan Athletic
Sat 25 Oct , Leyton Orient , 1 - 0 , Burton Albion
Sat 25 Oct , Northampton , 0 - 1 , Rotherham
Sat 25 Oct , Peterborough , 1 - 2 , Lincoln City
Sat 25 Oct , Stevenage , 1 - 1 , Luton Town
Sat 25 Oct , Wycombe , 3 - 0 , Blackpool
Mon 27 Oct , Port Vale , 0 - 3 , StockportSat 25 OctReading 1 1 Doncaster
Tue 28 Oct , Bradford , 0 - 0 , Bradford
Tue 28 Oct , Mansfield , 2 - 0 , Huddersfield
Tue 4 Nov , Rotherham , 2 - 2 , Stockport
Thu 6 Nov , Reading , 1 - 0 , Lincoln City
Sat 8 Nov , Northampton , 2 - 1 , Plymouth
Sat 8 Nov , Wycombe , 4 - 1 , Burton Albion
Sat 8 Nov , Blackpool , 3 - 1 , Stevenage
Sat 8 Nov , Bolton , 4 - 0 , Mansfield
Sat 8 Nov , Bradford , 1 - 2 , Leyton Orient
Sat 8 Nov , Doncaster , 1 - 2 , Cardiff City
Sat 8 Nov , Exeter City , 1 - 1 , Port Vale
Sat 8 Nov , Huddersfield , 3 - 1 , Burton Albion
Sat 8 Nov , Peterborough , 5 - 0 , Barnsley
Sat 8 Nov , Rotherham , 3 - 0 , Wigan Athletic
Sat 8 Nov , Stockport , 0 - 3 , Plymouth
Sat 15 Nov , Leyton Orient , 2 - 1 , AFC Wimbledon
Sat 15 Nov , Lincoln City , 2 - 1 , Lincoln City
Sat 15 Nov , Luton Town , 0 - 0 , Luton Town
