Sun 1 Jun , Daegu , 1 - 1 , Gwangju
Sun 1 Jun , Gimcheon Sangmu , 1 - 1 , Suwon City
Sun 1 Jun , Pohang Steelers , 2 - 1 , Gangwon
Fri 13 Jun , Gangwon , 0 - 3 , Jeonbuk
Fri 13 Jun , Gwangju , 1 - 3 , Seoul
Sat 14 Jun , Gimcheon Sangmu , 1 - 0 , Pohang Steelers
Sat 14 Jun , Jeju Utd , 2 - 1 , Daegu
Sat 14 Jun , Suwon City , 1 - 2 , Anyang
Tue 17 Jun , Daegu , 1 - 1 , Pohang Steelers
Tue 17 Jun , Jeonbuk , 3 - 2 , Suwon City
Tue 17 Jun , Seoul , 1 - 1 , Gangwon
Wed 18 Jun , Daejeon Citizen , 0 - 0 , Gimcheon Sangmu
Wed 18 Jun , Jeju Utd , 0 - 1 , Gwangju
Sat 21 Jun , Gangwon , 3 - 0 , Daegu
Sat 21 Jun , Jeonbuk , 1 - 1 , Seoul
Sat 21 Jun , Pohang Steelers , 2 - 1 , Jeju Utd
Sun 22 Jun , Gimcheon Sangmu , 1 - 0 , Anyang
Sun 22 Jun , Gwangju , 2 - 2 , Daejeon Citizen
Fri 27 Jun , Daejeon Citizen , 1 - 1 , Jeju Utd
Fri 27 Jun , Gimcheon Sangmu , 1 - 2 , Jeonbuk
Sat 28 Jun , Anyang , 1 - 2 , Gwangju
Sat 28 Jun , Suwon City , 1 - 2 , Gangwon
Sun 29 Jun , Seoul , 4 - 1 , Pohang Steelers
Sat 12 Jul , Ulsan , 2 - 2 , Daegu
Fri 18 Jul , Daegu , 2 - 3 , Gimcheon Sangmu
Fri 18 Jul , Suwon City , 2 - 1 , Gwangju
Sat 19 Jul , Gangwon , 2 - 2 , Daejeon Citizen
Sat 19 Jul , Jeju Utd , 2 - 0 , Anyang
Sat 19 Jul , Pohang Steelers , 2 - 3 , Jeonbuk
Sun 20 Jul , Seoul , 1 - 0 , Ulsan
Tue 22 Jul , Anyang , 4 - 0 , Daegu
Tue 22 Jul , Gwangju , 1 - 1 , Gimcheon Sangmu
Tue 22 Jul , Pohang Steelers , 1 - 5 , Suwon City
Wed 23 Jul , Jeju Utd , 3 - 2 , Seoul
Wed 23 Jul , Jeonbuk , 2 - 0 , Gangwon
Wed 23 Jul , Ulsan , 1 - 2 , Daejeon Citizen
Sat 26 Jul , Gimcheon Sangmu , 3 - 1 , Jeju Utd
Sat 26 Jul , Gwangju , 1 - 2 , Jeonbuk
Sat 26 Jul , Suwon City , 2 - 1 , Anyang
Sun 27 Jul , Daegu , 0 - 1 , Pohang Steelers
Sun 27 Jul , Daejeon Citizen , 0 - 1 , Seoul
Sun 27 Jul , Gangwon , 2 - 2 , Ulsan
Sat 2 Aug , Ulsan , 2 - 3 , Suwon City
Fri 8 Aug , Jeonbuk , 2 - 1 , Anyang
Fri 8 Aug , Seoul , 2 - 2 , Daegu
Sat 9 Aug , Gangwon , 0 - 0 , Gimcheon Sangmu
Sat 9 Aug , Ulsan , 1 - 0 , Jeju Utd
Sun 10 Aug , Daejeon Citizen , 3 - 2 , Suwon City
Sun 10 Aug , Pohang Steelers , 1 - 0 , Gwangju
Fri 15 Aug , Anyang , 0 - 1 , Pohang Steelers
Fri 15 Aug , Jeju Utd , 0 - 0 , Gangwon
Sat 16 Aug , Jeonbuk , 3 - 0 , Daegu
