Sat 19 Jul , One Knoxville , 1 - 1 , Westchester SC
Sun 20 Jul , Alta , 1 - 1 , Naples
Sun 20 Jul , Greenville , 2 - 0 , Richmond K.
Thu 24 Jul , Forward Madison , 1 - 0 , Tormenta
Wed 30 Jul , One Knoxville , 2 - 2 , Charlotte I.
Fri 1 Aug , Westchester SC , 1 - 3 , Chattanooga RW
Sat 2 Aug , Forward Madison , 0 - 0 , Alta
Sat 2 Aug , Charlotte I. , 3 - 3 , Texoma
Sat 2 Aug , One Knoxville , 1 - 0 , Portland Hearts
Sat 2 Aug , Richmond K. , 1 - 2 , Naples
Sat 2 Aug , Tormenta , 2 - 2 , Greenville
Sun 3 Aug , Spokane V. , 2 - 1 , Union Omaha
Wed 6 Aug , Chattanooga RW , 2 - 1 , Forward Madison
Thu 7 Aug , Naples , 2 - 1 , Tormenta
Thu 7 Aug , Union Omaha , 2 - 1 , Westchester SC
Sat 9 Aug , Portland Hearts , 0 - 0 , Richmond K.
Sat 9 Aug , Charlotte I. , 4 - 5 , Greenville
Sat 9 Aug , Union Omaha , 2 - 2 , Chattanooga RW
Sat 9 Aug , Naples , 2 - 1 , Texoma
Sun 10 Aug , Forward Madison , 2 - 2 , One Knoxville
Sun 10 Aug , Spokane V. , 2 - 0 , Alta
Sun 10 Aug , Westchester SC , 3 - 3 , Tormenta
Fri 15 Aug , Charlotte I. , 1 - 0 , Westchester SC
Sat 16 Aug , One Knoxville , 1 - 0 , Union Omaha
Sat 16 Aug , Richmond K. , 2 - 3 , Tormenta
Sun 17 Aug , Forward Madison , 0 - 0 , Naples
Sun 17 Aug , Texoma , 0 - 1 , Chattanooga RW
Sun 17 Aug , Alta , 1 - 1 , Greenville
Wed 20 Aug , One Knoxville , 2 - 0 , Richmond K.
Thu 21 Aug , Texoma , 3 - 3 , Alta
Thu 21 Aug , Union Omaha , 4 - 1 , Charlotte I.
Fri 22 Aug , Forward Madison , 0 - 1 , Spokane V.
Sat 23 Aug , Chattanooga RW , 2 - 0 , Tormenta
Sat 23 Aug , Greenville , 0 - 1 , Texoma
Sat 23 Aug , Richmond K. , 1 - 0 , One Knoxville
Sun 24 Aug , Union Omaha , 2 - 0 , Alta
Sun 24 Aug , Westchester SC , 2 - 3 , Portland Hearts
Wed 27 Aug , One Knoxville , 0 - 0 , Naples
Thu 28 Aug , Forward Madison , 3 - 0 , Texoma
Sat 30 Aug , One Knoxville , 1 - 0 , Spokane V.
Sat 30 Aug , Portland Hearts , 4 - 2 , Charlotte I.
Sat 30 Aug , Chattanooga RW , 0 - 0 , Alta
Sat 30 Aug , Naples , 2 - 2 , Westchester SC
Sat 30 Aug , Tormenta , 4 - 0 , Forward Madison
Wed 3 Sep , Greenville , 2 - 3 , Portland Hearts
Wed 3 Sep , Westchester SC , 0 - 2 , Richmond K.
Sat 6 Sep , Union Omaha , 5 - 0 , Texoma
Sat 6 Sep , Chattanooga RW , 1 - 0 , Charlotte I.
Sat 6 Sep , Naples , 2 - 1 , Greenville
Sat 6 Sep , Tormenta , 2 - 1 , One Knoxville
Sun 7 Sep , Alta , 3 - 3 , Forward Madison
Sun 7 Sep , Spokane V. , 2 - 1 , Westchester SC
Fri 12 Sep , Charlotte I. , 0 - 1 , Naples
Sat 13 Sep , Portland Hearts , 1 - 1 , Chattanooga RW
Sat 13 Sep , Forward Madison , 1 - 0 , Richmond K.
Sat 13 Sep , Greenville , 1 - 2 , Tormenta
Sat 13 Sep , Westchester SC , 1 - 2 , Union Omaha
Sun 14 Sep , Texoma , 3 - 3 , Spokane V.
Sun 14 Sep , Alta , 1 - 2 , One Knoxville
Wed 17 Sep , Richmond K. , 2 - 5 , Portland Hearts
Thu 18 Sep , Union Omaha , 2 - 2 , Spokane V.
Sat 20 Sep , Greenville , 3 - 0 , Forward Madison
Sat 20 Sep , Richmond K. , 2 - 3 , Charlotte I.
Sun 21 Sep , Alta , 0 - 3 , Tormenta
Sun 21 Sep , Portland Hearts , 1 - 0 , Naples
Sun 21 Sep , Union Omaha , 2 - 2 , One Knoxville
Sun 21 Sep , Spokane V. , 1 - 2 , Chattanooga RW
Sun 21 Sep , Westchester SC , 2 - 1 , Texoma
Fri 26 Sep , One Knoxville , 1 - 0 , Charlotte I.
Sat 27 Sep , Portland Hearts , 1 - 0 , Texoma
Sat 27 Sep , Chattanooga RW , 0 - 3 , Union Omaha
Sat 27 Sep , Naples , 4 - 0 , Alta
Sat 27 Sep , Tormenta , 4 - 2 , Richmond K.
Sun 28 Sep , Spokane V. , 0 - 1 , Greenville
Sun 28 Sep , Westchester SC , 0 - 1 , Forward Madison
Wed 1 Oct , Union Omaha , 1 - 0 , Portland Hearts
Wed 1 Oct , One Knoxville , 2 - 0 , Chattanooga RW
Fri 3 Oct , Charlotte I. , 0 - 1 , Spokane V.
Fri 3 Oct , Tormenta , 3 - 1 , Westchester SC
Sat 4 Oct , Portland Hearts , 1 - 3 , Forward Madison
Sat 4 Oct , Richmond K. , 2 - 1 , One Knoxville
Sat 4 Oct , Chattanooga RW , 0 - 0 , Greenville
Sun 5 Oct , Texoma , 1 - 1 , Alta
Sun 5 Oct , Union Omaha , 2 - 1 , Naples
Fri 10 Oct , One Knoxville , 3 - 1 , Portland Hearts
Fri 10 Oct , Charlotte I. , 3 - 2 , Alta
Sat 11 Oct , Greenville , 0 - 0 , Union Omaha
Sat 11 Oct , Forward Madison , 2 - 1 , Chattanooga RW
Sun 12 Oct , Texoma , 1 - 0 , Richmond K.
Sun 12 Oct , Spokane V. , 1 - 1 , Tormenta
Sun 12 Oct , Westchester SC , 2 - 0 , Naples
Fri 17 Oct , Charlotte I. , 1 - 2 , Chattanooga RW
Sat 18 Oct , Alta , 2 - 0 , Richmond K.
Sat 18 Oct , Portland Hearts , 2 - 2 , Westchester SC
Sat 18 Oct , Greenville , 1 - 4 , Tormenta
Sat 18 Oct , Naples , 0 - 1 , Spokane V.
Sat 18 Oct , Union Omaha , 4 - 0 , Forward Madison
Sun 19 Oct , One Knoxville , 2 - 1 , Texoma
Tue 21 Oct , Portland Hearts , 6 - 1 , Spokane V.
Sat 25 Oct , Portland Hearts , 2 - 2 , Alta
Sat 25 Oct , Richmond K. , 5 - 1 , Forward Madison
Sat 25 Oct , Chattanooga RW , 2 - 1 , Westchester SC
Sat 25 Oct , Naples , 2 - 0 , Charlotte I.
Sat 25 Oct , One Knoxville , 1 - 0 , Greenville
Sat 25 Oct , Tormenta , 3 - 0 , Texoma
Sat 25 Oct , Union Omaha , 2 - 2 , Spokane 
