Sun 5 Oct , Katowice , 0 - 1 , Widzew Lodz
Sun 5 Oct , Gornik Zabrze , 3 - 1 , Zaglebie Lubin
Fri 17 Oct , Motor Lublin , 2 - 5 , Cracovia Krakow
Fri 17 Oct , Widzew Lodz , 3 - 2 , Korona Kielce
Sat 18 Oct , Korona Kielce , 1 - 1 , Motor Lublin
Sat 18 Oct , Jagiellonia , 4 - 0 , Lech Poznan
Sat 18 Oct , Cracovia Krakow , 2 - 0 , Legia Warsaw
Sun 19 Oct , Piast Gliwice , 1 - 2 , Katowice
Sun 19 Oct , Lech Poznan , 2 - 2 , Radomiak Radom
Sun 19 Oct , Zaglebie Lubin , 3 - 1 , Gornik Zabrze
Mon 20 Oct , Wisla Plock , 3 - 1 , Arka Gdynia
Fri 24 Oct , Termalica , 1 - 1 , Rakow C.
Fri 24 Oct , Motor Lublin , 3 - 0 , Lechia Gdansk
Sat 25 Oct , Arka Gdynia , 2 - 1 , Pogon Szczecin
Sat 25 Oct , Pogon Szczecin , 2 - 1 , Legia Warsaw
Sat 25 Oct , Katowice , 1 - 0 , Termalica
Sun 26 Oct , Rakow C. , 2 - 1 , Zaglebie Lubin
Sun 26 Oct , Gornik Zabrze , 2 - 1 , Widzew Lodz
Sun 26 Oct , Legia Warsaw , 0 - 0 , Piast Gliwice
Mon 27 Oct , Radomiak Radom , 1 - 1 , Cracovia Krakow
Fri 31 Oct , Termalica , 0 - 3 , Korona Kielce
Fri 31 Oct , Piast Gliwice , 0 - 0 , Lechia Gdansk
Sun 2 Nov , Gornik Zabrze , 5 - 1 , Jagiellonia
Sun 2 Nov , Lech Poznan , 2 - 2 , Lech Poznan
Sun 2 Nov , Jagiellonia , 1 - 2 , Wisla Plock
Sun 2 Nov , Widzew Lodz , 1 - 1 , Katowice
Mon 3 Nov , Lechia Gdansk , 1 - 2 , Korona Kielce
Mon 3 Nov , Wisla Plock , 2 - 0 , Arka Gdynia
Mon 3 Nov , Cracovia Krakow , 0 - 0 , Motor Lublin
Fri 7 Nov , Radomiak Radom , 3 - 0 , Rakow C.
Fri 7 Nov , Zaglebie Lubin , 2 - 0 , Legia Warsaw
Sat 8 Nov , Lechia Gdansk , 2 - 1 , Radomiak Radom
Sat 8 Nov , Motor Lublin , 1 - 1 , Pogon Szczecin
Sat 8 Nov , Katowice , 1 - 3 , Zaglebie Lubin
Sun 9 Nov , Korona Kielce , 1 - 4 , Cracovia Krakow
Sun 9 Nov , Legia Warsaw , 1 - 2 , Gornik Zabrze
Sun 9 Nov , Pogon Szczecin , 1 - 2 , Widzew Lodz
Sun 9 Nov , Arka Gdynia , 3 - 1 , Wisla Plock
