Mon 24 Feb , Barracas C. , 2 - 0 , Newells
Mon 24 Feb , Argentinos Jrs , 0 - 0 , I. Rivadavia
Tue 25 Feb , Tigre , 1 - 0 , Banfield
Fri 28 Feb , Boca Juniors , 1 - 0 , Rosario Central
Sat 1 Mar , Central Cordoba , 0 - 0 , D. Riestra
Sat 1 Mar , SM San Juan , 3 - 1 , Belgrano
Sat 1 Mar , Aldosivi , 2 - 2 , Sarmiento
Sat 1 Mar , River Plate , 0 - 2 , Estudiantes
Sun 2 Mar , T. de Cordoba , 1 - 2 , Tigre
Sun 2 Mar , Union Santa Fe , 1 - 0 , Gimnasia
Sun 2 Mar , Argentinos Jrs , 2 - 0 , Instituto
Sun 2 Mar , I. Rivadavia , 1 - 1 , Lanus
Sun 2 Mar , Velez Sarsfield , 0 - 2 , Huracan
Mon 3 Mar , Barracas C. , 1 - 2 , Godoy Cruz
Mon 3 Mar , San Lorenzo , 3 - 2 , Racing Club
Tue 4 Mar , A. Tucuman , 1 - 2 , Newells
Tue 4 Mar , Banfield , 0 - 0 , Independiente
Tue 4 Mar , Platense , 0 - 1 , Defensa y J.
Fri 7 Mar , Banfield , 1 - 2 , Argentinos Jrs
Fri 7 Mar , Velez Sarsfield , 1 - 0 , SM San Juan
Sat 8 Mar , Central Cordoba , 0 - 3 , Boca Juniors
Sat 8 Mar , San Lorenzo , 1 - 2 , Independiente
Sat 8 Mar , Racing Club , 0 - 1 , Huracan
Sun 9 Mar , Platense , 0 - 0 , Lanus
Sun 9 Mar , Sarmiento , 1 - 1 , Barracas C.
Sun 9 Mar , Aldosivi , 0 - 2 , Tigre
Sun 9 Mar , Defensa y J. , 1 - 0 , Estudiantes
Sun 9 Mar , River Plate , 1 - 0 , A. Tucuman
Mon 10 Mar , Instituto , 1 - 1 , Godoy Cruz
Mon 10 Mar , Newells , 0 - 0 , Belgrano
Mon 10 Mar , Gimnasia , 1 - 1 , D. Riestra
Tue 11 Mar , I. Rivadavia , 2 - 0 , Union Santa Fe
Tue 11 Mar , T. de Cordoba , 0 - 0 , Rosario Central
Fri 14 Mar , Argentinos Jrs , 0 - 2 , Aldosivi
Sat 15 Mar , Godoy Cruz , 0 - 0 , San Lorenzo
Sat 15 Mar , D. Riestra , 0 - 0 , River Plate
Sat 15 Mar , Estudiantes , 1 - 1 , Newells
Sat 15 Mar , Rosario Central , 2 - 1 , Gimnasia
Sun 16 Mar , Huracan , 2 - 0 , I. Rivadavia
Sun 16 Mar , Sarmiento , 0 - 0 , T. de Cordoba
Sun 16 Mar , Independiente , 1 - 1 , Racing Club
Sun 16 Mar , Boca Juniors , 4 - 0 , Defensa y J.
Mon 17 Mar , Belgrano , 1 - 1 , Barracas C.
Mon 17 Mar , Lanus , 4 - 1 , Instituto
Mon 17 Mar , Tigre , 1 - 2 , Central Cordoba
Mon 17 Mar , Union Santa Fe , 3 - 1 , Banfield
