Wed 30 Jul , Kongsvinger , 0 - 3 , Start
Wed 30 Jul , Lyn , 2 - 2 , Aalesund
Wed 30 Jul , Mjondalen , 2 - 0 , Asane
Wed 30 Jul , Moss , 3 - 1 , Sogndal
Wed 30 Jul , Odd , 2 - 0 , Stabaek
Wed 30 Jul , Skeid , 0 - 0 , Ranheim
Wed 30 Jul , Lillestrom , 2 - 1 , Raufoss
Sat 2 Aug , Aalesund , 3 - 1 , Kongsvinger
Sat 2 Aug , Asane , 1 - 2 , Lillestrom
Sat 2 Aug , Egersund , 1 - 0 , Odd
Sat 2 Aug , Ranheim , 2 - 1 , Hodd
Sat 2 Aug , Raufoss , 0 - 3 , Lyn
Sat 2 Aug , Sogndal , 1 - 1 , Skeid
Sat 2 Aug , Stabaek , 3 - 3 , Moss
Sat 2 Aug , Start , 4 - 0 , Mjondalen
Wed 6 Aug , Sogndal , 2 - 1 , Hodd
Wed 6 Aug , Asane , 0 - 2 , Lyn
Wed 6 Aug , Egersund , 0 - 2 , Lillestrom
Wed 6 Aug , Ranheim , 0 - 0 , Moss
Wed 6 Aug , Raufoss , 2 - 2 , Kongsvinger
Wed 6 Aug , Skeid , 1 - 2 , Mjondalen
Wed 6 Aug , Stabaek , 1 - 2 , Aalesund
Wed 6 Aug , Start , 2 - 0 , Odd
Sun 10 Aug , Lillestrom , 5 - 1 , Aalesund
Sun 10 Aug , Hodd , 0 - 2 , Start
Sun 10 Aug , Kongsvinger , 2 - 1 , Stabaek
Sun 10 Aug , Lyn , 2 - 1 , Ranheim
Sun 10 Aug , Mjondalen , 2 - 3 , Sogndal
Sun 10 Aug , Moss , 1 - 2 , Asane
Sun 10 Aug , Odd , 1 - 2 , Raufoss
Sun 10 Aug , Skeid , 0 - 2 , Egersund
Sat 16 Aug , Lillestrom , 3 - 0 , Start
Sun 17 Aug , Hodd , 1 - 1 , Skeid
Sun 17 Aug , Moss , 2 - 2 , Odd
Mon 18 Aug , Aalesund , 6 - 0 , Ranheim
Mon 18 Aug , Asane , 4 - 2 , Raufoss
Mon 18 Aug , Kongsvinger , 4 - 3 , Mjondalen
Mon 18 Aug , Stabaek , 1 - 2 , Sogndal
Tue 19 Aug , Lyn , 1 - 1 , Egersund
Sat 23 Aug , Egersund , 1 - 1 , Asane
Sat 23 Aug , Mjondalen , 1 - 1 , Hodd
Sat 23 Aug , Odd , 1 - 2 , Kongsvinger
Sat 23 Aug , Ranheim , 1 - 1 , Stabaek
Sat 23 Aug , Raufoss , 1 - 2 , Lillestrom
Sat 23 Aug , Skeid , 2 - 3 , Lyn
Sat 23 Aug , Sogndal , 3 - 1 , Moss
Sat 23 Aug , Start , 3 - 1 , Aalesund
Sat 30 Aug , Stabaek , 1 - 1 , Start
Sat 30 Aug , Asane , 1 - 1 , Sogndal
Sat 30 Aug , Hodd , 2 - 4 , Raufoss
Sat 30 Aug , Kongsvinger , 1 - 1 , Ranheim
Sat 30 Aug , Lillestrom , 3 - 1 , Skeid
Sat 30 Aug , Moss , 3 - 1 , Mjondalen
Sun 31 Aug , Aalesund , 2 - 3 , Egersund
Sun 31 Aug , Lyn , 0 - 0 , Odd
Sat 13 Sep , Egersund , 1 - 1 , Stabaek
Sat 13 Sep , Odd , 1 - 2 , Hodd
Sat 13 Sep , Ranheim , 5 - 2 , Asane
Sat 13 Sep , Raufoss , 0 - 1 , Aalesund
Sat 13 Sep , Sogndal , 1 - 5 , Lillestrom
Sat 13 Sep , Start , 2 - 3 , Kongsvinger
Sun 14 Sep , Skeid , 1 - 1 , Moss
Sun 14 Sep , Mjondalen , 0 - 1 , Lyn
Sat 20 Sep , Aalesund , 3 - 0 , Skeid
Sat 20 Sep , Asane , 0 - 2 , Odd
Sat 20 Sep , Hodd , 2 - 1 , Moss
Sat 20 Sep , Lillestrom , 4 - 1 , Mjondalen
Sat 20 Sep , Start , 2 - 3 , Ranheim
Sun 21 Sep , Kongsvinger , 2 - 1 , Egersund
Sun 21 Sep , Lyn , 2 - 1 , Sogndal
Sun 21 Sep , Stabaek , 3 - 0 , Raufoss
Sat 27 Sep , Skeid , 1 - 2 , Asane
Sat 27 Sep , Egersund , 2 - 0 , Start
Sun 28 Sep , Sogndal , 2 - 2 , Kongsvinger
Mon 29 Sep , Hodd , 0 - 1 , Lyn
Mon 29 Sep , Moss , 1 - 5 , Lillestrom
Mon 29 Sep , Odd , 1 - 0 , Aalesund
Mon 29 Sep , Raufoss , 1 - 2 , Ranheim
Sat 4 Oct , Aalesund , 2 - 0 , Sogndal
Sat 4 Oct , Asane , 2 - 3 , Mjondalen
Sat 4 Oct , Kongsvinger , 3 - 0 , Skeid
Sat 4 Oct , Lillestrom , 4 - 0 , Hodd
Sat 4 Oct , Ranheim , 0 - 4 , Egersund
Sat 4 Oct , Start , 4 - 0 , Raufoss
Sun 5 Oct , Lyn , 4 - 0 , Moss
Sun 5 Oct , Stabaek , 2 - 2 , Odd
Fri 17 Oct , Lillestrom , 5 - 1 , Lyn
Sat 18 Oct , Skeid , 0 - 5 , Stabaek
Sat 18 Oct , Egersund , 4 - 0 , Raufoss
Sat 18 Oct , Hodd , 3 - 3 , Asane
Sat 18 Oct , Mjondalen , 0 - 6 , Aalesund
Sat 18 Oct , Moss , 2 - 4 , Kongsvinger
Sat 18 Oct , Odd , 1 - 1 , Ranheim
Sat 18 Oct , Sogndal , 0 - 0 , Start
Wed 22 Oct , Aalesund , 2 - 1 , Lyn
Wed 22 Oct , Egersund , 2 - 0 , Moss
Wed 22 Oct , Kongsvinger , 3 - 0 , Hodd
Wed 22 Oct , Odd , 1 - 7 , Lillestrom
Wed 22 Oct , Ranheim , 3 - 0 , Mjondalen
Wed 22 Oct , Raufoss , 1 - 3 , Sogndal
Wed 22 Oct , Stabaek , 2 - 0 , Asane
Wed 22 Oct , Start , 2 - 1 , Skeid
Sat 25 Oct , Skeid , 1 - 4 , Raufoss
Sat 25 Oct , Asane , 2 - 2 , Start
Sat 25 Oct , Hodd , 1 - 3 , Stabaek
Sat 25 Oct , Lillestrom , 2 - 1 , Ranheim
Sat 25 Oct , Lyn , 0 - 1 , Kongsvinger
Sat 25 Oct , Mjondalen , 1 - 1 , Odd
Sat 25 Oct , Moss , 1 - 1 , Aalesund
Sat 25 Oct , Sogndal , 0 - 1 , Egersund
Wed 29 Oct , Mjondalen , 3 - 2 , Stabaek
Sat 1 Nov , Aalesund , 3 - 0 , Asane
Sat 1 Nov , Egersund , 0 - 0 , Hodd
Sat 1 Nov , Kongsvinger , 0 - 2 , Lillestrom
Sat 1 Nov , Odd , 1 - 4 , Sogndal
Sat 1 Nov , Ranheim , 4 - 2 , Skeid
Sat 1 Nov , Start , 2 - 1 , Moss
Sun 2 Nov , Raufoss , 0 - 1 , Mjondalen
Sun 2 Nov , Stabaek , 1 - 5 , Lyn
Sat 8 Nov , Asane , 0 - 0 , Kongsvinger
Sat 8 Nov , Hodd , 0 - 0 , Aalesund
Sat 8 Nov , Lillestrom , 3 - 0 , Stabaek
Sat 8 Nov , Lyn , 0 - 3 , Start
Sat 8 Nov , Mjondalen , 1 - 2 , Egersund
Sat 8 Nov , Moss , 1 - 1 , Raufoss
Sat 8 Nov , Skeid , 5 - 2 , Odd
Sat 8 Nov , Sogndal , 0 - 3 , Ranhe
