Sat 17 May , El Paso , 3 - 1 , Indy Eleven
Sat 17 May , Hartford A. , 1 - 1 , Louisville City
Sat 17 May , Charleston , 4 - 0 , San Antonio
Sat 17 May , Miami FC , 2 - 1 , Loudoun Utd
Sat 17 May , Tampa Bay , 0 - 3 , Rhode Island
Sun 18 May , Colorado S. , 1 - 0 , Pittsburgh
Sun 18 May , Orange County , 0 - 3 , New Mexico
Sun 18 May , Phoenix Rising , 2 - 0 , Monterey Bay
Sun 18 May , Sacramento R. , 5 - 0 , Las Vegas L.
Sun 18 May , Birmingham L. , 1 - 1 , Detroit City
Sun 18 May , Lexington , 0 - 2 , FC Tulsa
Sat 24 May , Detroit City , 1 - 3 , Charleston
Sat 24 May , Rhode Island , 0 - 1 , Pittsburgh
Sat 24 May , Lexington , 1 - 1 , Tampa Bay
Sat 24 May , Miami FC , 1 - 2 , Birmingham L.
Sun 25 May , Orange County , 3 - 1 , Colorado S.
Sun 25 May , Monterey Bay , 0 - 2 , Louisville City
Sun 25 May , Oakland Roots , 0 - 3 , New Mexico
Sun 25 May , Las Vegas L. , 1 - 2 , El Paso
Wed 28 May , Indy Eleven , 4 - 4 , Hartford A.
Thu 29 May , San Antonio , 1 - 1 , FC Tulsa
Thu 29 May , Las Vegas L. , 0 - 1 , Phoenix Rising
Thu 5 Jun , Birmingham L. , 0 - 1 , Indy Eleven
Fri 6 Jun , Hartford A. , 0 - 1 , North Carolina
Sat 7 Jun , Loudoun Utd , 1 - 1 , Charleston
Sat 7 Jun , Pittsburgh , 2 - 0 , Detroit City
Sat 7 Jun , Rhode Island , 0 - 1 , Miami FC
Sun 8 Jun , Louisville City , 2 - 1 , Tampa Bay
Sun 8 Jun , New Mexico , 1 - 1 , Colorado S.
Sun 8 Jun , San Antonio , 3 - 0 , Las Vegas L.
Sun 8 Jun , Monterey Bay , 2 - 1 , Lexington
Sun 8 Jun , Oakland Roots , 0 - 0 , El Paso
Sun 8 Jun , Phoenix Rising , 3 - 1 , Orange County
Sun 8 Jun , Sacramento R. , 0 - 1 , FC Tulsa
Thu 12 Jun , Louisville City , 2 - 1 , Rhode Island
Sat 14 Jun , Loudoun Utd , 3 - 2 , Detroit City
Sat 14 Jun , Hartford A. , 1 - 2 , Charleston
Sat 14 Jun , Indy Eleven , 1 - 0 , Pittsburgh
Sat 14 Jun , Lexington , 2 - 1 , New Mexico
Sat 14 Jun , Rhode Island , 2 - 1 , North Carolina
Sat 14 Jun , Tampa Bay , 2 - 1 , Miami FC
Sun 15 Jun , Louisville City , 4 - 2 , Birmingham L.
Sun 15 Jun , FC Tulsa , 1 - 1 , Phoenix Rising
Sun 15 Jun , Colorado S. , 1 - 0 , Oakland Roots
Sun 15 Jun , El Paso , 0 - 3 , Orange County
Sun 15 Jun , Las Vegas L. , 2 - 0 , Monterey Bay
Sun 15 Jun , Sacramento R. , 0 - 0 , San Antonio
Wed 18 Jun , Miami FC , 1 - 0 , Charleston
Thu 19 Jun , Birmingham L. , 1 - 0 , Sacramento R.
Fri 20 Jun , Lexington , 2 - 1 , Colorado S.
Fri 20 Jun , Hartford A. , 3 - 0 , Loudoun Utd
Fri 20 Jun , North Carolina , 2 - 1 , Louisville City
Sat 21 Jun , Detroit City , 2 - 0 , Miami FC
Sat 21 Jun , Indy Eleven , 0 - 1 , Las Vegas L.
Sat 21 Jun , Pittsburgh , 2 - 1 , Tampa Bay
Sat 21 Jun , Rhode Island , 0 - 2 , Sacramento R.
Sat 21 Jun , Charleston , 4 - 1 , Phoenix Rising
Sun 22 Jun , Birmingham L. , 0 - 1 , Oakland Roots
Sun 22 Jun , New Mexico , 4 - 2 , San Antonio
Sun 22 Jun , Monterey Bay , 1 - 2 , El Paso
Wed 25 Jun , Loudoun Utd , 1 - 4 , Louisville City
Wed 25 Jun , Tampa Bay , 3 - 1 , Indy Eleven
Thu 3 Jul , Birmingham L. , 0 - 0 , Charleston
Thu 3 Jul , Loudoun Utd , 0 - 0 , Orange County
Fri 4 Jul , Pittsburgh , 1 - 0 , New Mexico
Sat 5 Jul , Colorado S. , 0 - 1 , Louisville City
Sat 5 Jul , El Paso , 1 - 2 , San Antonio
Sat 5 Jul , Las Vegas L. , 0 - 2 , Sacramento R.
Sat 5 Jul , Phoenix Rising , 0 - 1 , Lexington
Sat 5 Jul , Miami FC , 2 - 2 , FC Tulsa
Sat 5 Jul , Rhode Island , 1 - 1 , Birmingham L.
Sat 5 Jul , Indy Eleven , 3 - 0 , Monterey Bay
Sun 6 Jul , Oakland Roots , 2 - 0 , Detroit City
Sun 6 Jul , Charleston , 1 - 0 , North Carolina
Fri 11 Jul , North Carolina , 2 - 3 , Birmingham L.
Sat 12 Jul , Monterey Bay , 2 - 1 , Orange County
Sat 12 Jul , Detroit City , 1 - 2 , Hartford A.
Sat 12 Jul , Indy Eleven , 1 - 0 , Rhode Island
Sat 12 Jul , Miami FC , 1 - 1 , Lexington
Sun 13 Jul , FC Tulsa , 4 - 3 , Las Vegas L.
Sun 13 Jul , New Mexico , 1 - 2 , Charleston
Sun 13 Jul , San Antonio , 1 - 0 , Tampa Bay
Sun 13 Jul , Oakland Roots , 1 - 2 , Phoenix Rising
Sun 13 Jul , Sacramento R. , 3 - 0 , El Paso
Sun 13 Jul , Pittsburgh , 2 - 2 , Loudoun Utd
Wed 16 Jul , Hartford A. , 0 - 1 , Tampa Bay
Thu 17 Jul , FC Tulsa , 2 - 1 , Monterey Bay
Fri 18 Jul , Detroit City , 0 - 0 , Pittsburgh
Fri 18 Jul , North Carolina , 4 - 2 , Indy Eleven
Sat 19 Jul , Rhode Island , 0 - 0 , Hartford A.
Sat 19 Jul , Loudoun Utd , 0 - 2 , Oakland Roots
Sat 19 Jul , Charleston , 3 - 0 , Miami FC
Sun 20 Jul , Birmingham L. , 0 - 1 , Colorado S.
Sun 20 Jul , Louisville City , 1 - 1 , FC Tulsa
Sun 20 Jul , Orange County , 4 - 0 , Las Vegas L.
Sun 20 Jul , Sacramento R. , 0 - 0 , Lexington
Tue 29 Jul , Pittsburgh , 1 - 1 , Miami FC
Thu 31 Jul , Hartford A. , 4 - 0 , New Mexico
Thu 31 Jul , Orange County , 4 - 1 , Phoenix Rising
Sat 2 Aug , FC Tulsa , 3 - 2 , Loudoun Utd
Sat 2 Aug , Colorado S. , 3 - 1 , Lexington
Sat 2 Aug , Indy Eleven , 1 - 3 , Tampa Bay
