Sun 16 Mar , Atlas , 1 - 3 , CF America
Mon 17 Mar , Pumas UNAM , 1 - 3 , Monterrey
Mon 17 Mar , Pachuca , 4 - 1 , Tijuana
Sat 29 Mar , Necaxa , 2 - 0 , Queretaro
Sat 29 Mar , Mazatlan , 3 - 2 , Atlas
Sat 29 Mar , Juarez , 2 - 0 , Puebla
Sat 29 Mar , Toluca , 3 - 2 , Pachuca
Sun 30 Mar , CF America , 3 - 0 , Tigres
Sun 30 Mar , Guadalajara , 0 - 1 , Cruz Azul
Sun 30 Mar , Monterrey , 1 - 2 , Tijuana
Sun 30 Mar , Santos Laguna , 2 - 3 , A. San Luis
Mon 31 Mar , Club Leon , 1 - 2 , Pumas UNAM
Sat 5 Apr , Queretaro , 1 - 1 , Club Leon
Sat 5 Apr , Tijuana , 1 - 2 , Necaxa
Sat 5 Apr , Puebla , 0 - 0 , Tigres
Sat 5 Apr , Atlas , 1 - 1 , Juarez
Sat 5 Apr , Pachuca , 1 - 0 , CF America
Sun 6 Apr , A. San Luis , 2 - 1 , Mazatlan
Sun 6 Apr , Monterrey , 3 - 1 , Guadalajara
Sun 6 Apr , Cruz Azul , 3 - 2 , Pumas UNAM
Mon 7 Apr , Toluca , 2 - 1 , Santos Laguna
Fri 11 Apr , Tijuana , 2 - 1 , A. San Luis
Sat 12 Apr , Necaxa , 3 - 5 , Pachuca
Sat 12 Apr , Mazatlan , 1 - 1 , Guadalajara
Sat 12 Apr , Club Leon , 1 - 0 , Puebla
Sat 12 Apr , Pumas UNAM , 0 - 0 , Juarez
Sun 13 Apr , Tigres , 2 - 1 , Monterrey
Sun 13 Apr , Atlas , 2 - 3 , Toluca
Sun 13 Apr , CF America , 0 - 0 , Cruz Azul
Sun 13 Apr , Santos Laguna , 1 - 2 , Queretaro
Wed 16 Apr , Pachuca , 0 - 0 , Tigres
Wed 16 Apr , Guadalajara , 1 - 0 , Puebla
Wed 16 Apr , Juarez , 2 - 2 , Necaxa
Wed 16 Apr , Cruz Azul , 2 - 1 , Club Leon
Thu 17 Apr , Monterrey , 1 - 0 , CF America
Thu 17 Apr , Queretaro , 1 - 2 , Atlas
Thu 17 Apr , A. San Luis , 0 - 1 , Toluca
Thu 17 Apr , Mazatlan , 0 - 2 , Tijuana
Thu 17 Apr , Pumas UNAM , 2 - 0 , Santos Laguna
Sat 19 Apr , Puebla , 0 - 1 , Necaxa
Sat 19 Apr , CF America , 5 - 0 , Mazatlan
Sun 20 Apr , Toluca , 2 - 2 , Cruz Azul
Sun 20 Apr , Tigres , 2 - 1 , Pumas UNAM
Sun 20 Apr , Atlas , 1 - 1 , Guadalajara
Sun 20 Apr , Santos Laguna , 0 - 4 , Tijuana
Mon 21 Apr , A. San Luis , 2 - 1 , Pachuca
Mon 21 Apr , Club Leon , 0 - 2 , Monterrey
Mon 21 Apr , Juarez , 0 - 2 , Quereta
