Sun 13 Apr , Ehime FC , 0 - 0 , Ventforet Kofu
Sat 19 Apr , M. Yamagata , 2 - 3 , Ehime FC
Sat 19 Apr , Sagan Tosu , 2 - 2 , R. Yamaguchi
Sat 19 Apr , Ventforet Kofu , 1 - 1 , Nagasaki
Sun 20 Apr , R. Kumamoto , 0 - 1 , Vegalta Sendai
Sun 20 Apr , Blaublitz Akita , 2 - 1 , Jubilo Iwata
Sun 20 Apr , C. Sapporo , 2 - 1 , Fujieda MYFC
Sun 20 Apr , FC Imabari , 0 - 0 , Omiya Ardija
Sun 20 Apr , JEF Utd Chiba , 1 - 0 , Oita Trinita
Sun 20 Apr , Kataller Toyama , 1 - 2 , Iwaki
Sun 20 Apr , Tokushima V. , 0 - 1 , Mito Hollyhock
Fri 25 Apr , Fujieda MYFC , 0 - 2 , R. Kumamoto
Fri 25 Apr , JEF Utd Chiba , 3 - 1 , Blaublitz Akita
Fri 25 Apr , Jubilo Iwata , 0 - 3 , Oita Trinita
Fri 25 Apr , Mito Hollyhock , 0 - 0 , Ventforet Kofu
Fri 25 Apr , Omiya Ardija , 1 - 0 , C. Sapporo
Fri 25 Apr , Sagan Tosu , 2 - 1 , M. Yamagata
Fri 25 Apr , Vegalta Sendai , 1 - 1 , Ehime FC
Fri 25 Apr , V-V. Nagasaki , 3 - 4 , Iwaki
Sat 26 Apr , R. Yamaguchi , 1 - 2 , FC Imabari
Sat 26 Apr , Tokushima V. , 1 - 0 , Kataller Toyama
Tue 29 Apr , Blaublitz Akita , 0 - 2 , Tokushima V.
Tue 29 Apr , C. Sapporo , 2 - 2 , Nagasaki
Tue 29 Apr , Iwaki , 2 - 1 , Omiya Ardija
Tue 29 Apr , Kataller Toyama , 0 - 0 , M. Yamagata
Tue 29 Apr , Mito Hollyhock , 0 - 0 , FC Imabari
Tue 29 Apr , Oita Trinita , 1 - 0 , Sagan Tosu
Tue 29 Apr , R. Kumamoto , 0 - 0 , JEF Utd Chiba
Tue 29 Apr , Ventforet Kofu , 1 - 2 , Vegalta Sendai
Tue 29 Apr , Ehime FC , 2 - 4 , Fujieda MYFC
Tue 29 Apr , Jubilo Iwata , 0 - 1 , R. Yamaguchi
